duplication_type	gene	age	age_occurrences	had_conflicting_occurrence_calls	Ppe_syntenic	Mdo_syntenic	Gtr_syntenic	minimum_valid_pair_Ks
TRD	Pbre1_07G197000	young	2	False	0	0	0	0.00485137
PD	Pbre1_11G442800	young	1	False	0	0	0	0.0182158
TD	Pbre1_08G236600	young	2	False	0	0	0	0.00785092
PD	Pbre1_02G422400	young	3	True	0	0	0	0.028602
TRD	Pbre1_11G274800	young	1	False	0	0	0	0.0784348
TD	Pbre1_10G577000	young	1	False	0	0	0	0.0685744
TRD	Pbre1_17G251400	young	1	False	0	0	0	0.0883548
TRD	Pbre1_01G365600	young	1	False	0	0	0	0.0772224
TRD	Pbre1_17G264600	young	1	False	0	0	0	0.0799493
TRD	Pbre1_09G256200	young	1	False	0	0	0	0.111139
PD	Pbre1_01G009800	young	1	False	0	0	0	0.00874465
TD	Pbre1_05G252600	young	1	False	0	0	0	0.0199519
TD	Pbre1_11G448800	young	2	False	0	0	0	0.042173
PD	Pbre1_01G141400	young	2	False	0	0	0	0.0296969
PD	Pbre1_01G387000	young	1	False	0	0	0	0.0951151
TRD	Pbre1_04G139200	young	1	False	0	0	0	0.0203659
PD	Pbre1_01G201000	young	1	False	0	0	0	0.077363
TRD	Pbre1_06G331200	young	1	False	0	0	0	0.0882399
TRD	Pbre1_02G354800	young	1	False	0	0	0	0.0395761
TRD	Pbre1_11G183000	young	1	False	0	0	0	0.0998192
PD	Pbre1_01G326200	young	2	False	0	0	0	0.0133719
TRD	Pbre1_16G036000	young	1	False	0	0	0	0.0627909
PD	Pbre1_17G328600	young	1	False	0	0	0	0.0673871
TD	Pbre1_03G219600	young	1	False	0	0	0	0.080564
TD	Pbre1_14G136200	young	2	True	0	0	0	0.106094
TD	Pbre1_07G446800	young	2	True	0	0	0	0.0537899
TRD	Pbre1_10G205600	young	1	False	0	0	0	0.0797308
PD	Pbre1_09G158000	young	2	False	0	0	0	0.0432339
TRD	Pbre1_06G144200	young	1	False	0	0	0	0.0190542
TRD	Pbre1_14G197600	young	2	True	0	0	0	0.0488208
TD	Pbre1_11G132200	young	2	False	0	0	0	0.0751073
PD	Pbre1_11G336600	young	1	False	0	0	0	0.0827575
PD	Pbre1_08G036600	young	1	False	0	0	0	0.0653933
TD	Pbre1_08G347000	young	2	False	0	0	0	0.0633951
PD	Pbre1_10G029800	young	1	False	0	0	0	0.0737056
PD	Pbre1_03G420200	young	1	False	0	0	0	0.0248699
TD	Pbre1_10G108400	young	1	False	0	0	0	0.0615436
TRD	Pbre1_17G503000	young	1	False	0	0	0	0.053873
TD	Pbre1_14G174600	young	1	False	0	0	0	0.0761576
PD	Pbre1_02G486600	young	1	False	0	0	0	0.0657243
TD	Pbre1_14G268400	young	1	False	0	0	0	0.00309219
TD	Pbre1_04G378800	young	1	False	0	0	0	0.0939103
TD	Pbre1_08G255600	young	1	False	0	0	0	0.0193889
PD	Pbre1_01G325800	young	1	False	0	0	0	0.0839395
TD	Pbre1_11G152400	young	2	True	0	0	0	0.0912355
TRD	Pbre1_13G439600	young	1	False	0	0	0	0.00484745
PD	Pbre1_02G452200	young	1	False	0	0	0	0.0260433
TD	Pbre1_11G406600	young	1	False	0	0	0	0.0556929
TRD	Pbre1_12G119800	young	1	False	0	0	0	0.0274887
TRD	Pbre1_07G131000	young	2	False	0	0	0	0.0216034
TRD	Pbre1_16G435200	young	1	False	0	0	0	0.0336694
TRD	Pbre1_08G177000	young	1	False	0	0	0	0.103275
TD	Pbre1_05G256600	young	1	False	0	0	0	0.0866954
TD	Pbre1_07G091800	young	2	False	0	0	0	0.0257555
PD	Pbre1_01G216600	young	1	False	0	0	0	0.110266
TD	Pbre1_10G281400	young	1	False	0	0	0	0.0107361
TRD	Pbre1_03G412400	young	1	False	0	0	0	0.11104
TRD	Pbre1_05G107200	young	1	False	0	0	0	0.090675
PD	Pbre1_01G418200	young	1	False	0	0	0	0.0995259
TD	Pbre1_07G108600	young	2	False	0	0	0	0.0351232
TD	Pbre1_12G404000	young	1	False	0	0	0	0.0386478
TD	Pbre1_07G013000	young	2	False	0	0	0	0.0764904
TRD	Pbre1_12G012200	young	1	False	0	0	0	0.0968349
TD	Pbre1_14G446200	young	1	False	0	0	0	0.0771588
PD	Pbre1_11G100600	young	1	False	0	0	0	0.053624
PD	Pbre1_14G165400	young	1	False	0	0	0	0.0743095
PD	Pbre1_07G141200	young	1	False	0	0	0	0.0422948
TD	Pbre1_15G705200	young	2	False	0	0	0	0.0142857
TRD	Pbre1_10G182200	young	1	False	0	0	0	0.0168947
TD	Pbre1_07G108200	young	1	False	0	0	0	0.0492166
TRD	Pbre1_14G086800	young	1	False	0	0	0	0.0349358
TD	Pbre1_09G274400	young	1	False	0	0	0	0.0934605
PD	Pbre1_04G390200	young	1	False	0	0	0	0.020236
TRD	Pbre1_10G501600	young	1	False	0	0	0	0.0136396
TRD	Pbre1_13G445800	young	1	False	0	0	0	0.0131241
PD	Pbre1_01G200200	young	2	True	0	0	0	0.0736847
TRD	Pbre1_15G599800	young	1	False	0	0	0	0.0401994
TD	Pbre1_05G553000	young	1	False	0	0	0	0.0567168
TRD	Pbre1_04G113200	young	1	False	0	0	0	0.103189
TD	Pbre1_05G029000	young	1	False	0	0	0	0.0694684
PD	Pbre1_01G327400	young	2	False	0	0	0	0.0113729
PD	Pbre1_09G228600	young	1	False	0	0	0	0.0193
TRD	Pbre1_14G110200	young	1	False	0	0	0	0.0923315
TRD	Pbre1_10G061400	young	1	False	0	0	0	0.0626473
PD	Pbre1_03G198200	young	2	True	0	0	0	0.0421461
PD	Pbre1_13G464200	young	2	False	0	0	0	0.0141488
TD	Pbre1_02G457000	young	2	False	0	0	0	0.0378161
PD	Pbre1_17G116600	young	1	False	0	0	0	0.0268068
PD	Pbre1_04G061600	young	1	False	0	0	0	0.0388991
TRD	Pbre1_06G149800	young	1	False	0	0	0	0.0764135
PD	Pbre1_09G198200	young	1	False	0	0	0	0.0197355
TD	Pbre1_04G017400	young	2	False	0	0	0	0.0349503
TD	Pbre1_12G411400	young	2	False	0	0	0	0.0610868
TRD	Pbre1_07G475600	young	1	False	0	0	0	0.111424
TRD	Pbre1_14G217600	young	1	False	0	0	0	0.0356752
TD	Pbre1_15G702200	young	2	False	0	0	0	0.040984
TD	Pbre1_03G068000	young	1	False	0	0	0	0.0862746
TD	Pbre1_11G149200	young	2	True	0	0	0	0.0886278
TD	Pbre1_17G357600	young	1	False	0	0	0	0.0616105
TD	Pbre1_06G007000	young	1	False	0	0	0	0.0734828
PD	Pbre1_09G183400	young	1	False	0	0	0	0.0711709
PD	Pbre1_01G107200	young	1	False	0	0	0	0.0804056
TD	Pbre1_07G083800	young	2	False	0	0	0	0.0094742
TRD	Pbre1_16G436000	young	1	False	0	0	0	0.0640841
TRD	Pbre1_06G347600	young	1	False	0	0	0	0.0420418
TD	Pbre1_03G036400	young	1	False	0	0	0	0.0394686
PD	Pbre1_13G042600	young	1	False	0	0	0	0.10046
PD	Pbre1_08G090400	young	2	True	0	0	0	0.0570573
TD	Pbre1_11G112800	young	1	False	0	0	0	0.0921502
PD	Pbre1_17G222800	young	2	True	0	0	0	0.0804162
TD	Pbre1_03G205200	young	1	False	0	0	0	0.0587325
PD	Pbre1_13G350600	young	1	False	0	0	0	0.0772019
TD	Pbre1_14G100000	young	2	True	0	0	0	0.0991839
PD	Pbre1_01G141000	young	1	False	0	0	0	0.109875
PD	Pbre1_17G325800	young	1	False	0	0	0	0.0505885
PD	Pbre1_17G390400	young	1	False	0	0	0	0.0776778
TRD	Pbre1_15G627000	young	2	True	0	0	0	0.105377
TRD	Pbre1_15G422000	young	1	False	0	0	0	0.107621
TRD	Pbre1_11G020600	young	1	False	0	0	0	0.0967435
PD	Pbre1_09G330400	young	1	False	0	0	0	0.0737834
TRD	Pbre1_14G165600	young	1	False	0	0	0	0.0360579
PD	Pbre1_12G109000	young	1	False	0	0	0	0.0966774
PD	Pbre1_08G321000	young	2	True	0	0	0	0.0931804
TD	Pbre1_05G575600	young	2	False	0	0	0	0.0192251
TRD	Pbre1_12G306200	young	1	False	0	0	0	0.0571691
TRD	Pbre1_11G247000	young	1	False	0	0	0	0.0274887
TD	Pbre1_11G080200	young	1	False	0	0	0	0.0867706
PD	Pbre1_14G147600	young	1	False	0	0	0	0.0565816
PD	Pbre1_07G209600	young	1	False	0	0	0	0.0252764
TRD	Pbre1_10G282800	young	1	False	0	0	0	0.0263614
PD	Pbre1_10G239000	young	1	False	0	0	0	0.0175244
TRD	Pbre1_17G319400	young	1	False	0	0	0	0.10702
PD	Pbre1_03G197400	young	1	False	0	0	0	0.0645032
PD	Pbre1_10G028800	young	2	True	0	0	0	0.0438037
TD	Pbre1_02G440800	young	1	False	0	0	0	0.0364356
TRD	Pbre1_15G344000	young	1	False	0	0	0	0.112262
PD	Pbre1_07G358600	young	1	False	0	0	0	0.0403817
PD	Pbre1_17G487600	young	2	True	0	0	0	0.0588371
TD	Pbre1_11G196000	young	2	False	0	0	0	0.0582274
PD	Pbre1_04G061800	young	1	False	0	0	0	0.00674
PD	Pbre1_01G232800	young	2	False	0	0	0	0.0131679
TRD	Pbre1_01G084000	young	1	False	0	0	0	0.0907775
TRD	Pbre1_01G044400	young	1	False	0	0	0	0.0956363
PD	Pbre1_13G072200	young	1	False	0	0	0	0.0129748
TD	Pbre1_09G232600	young	1	False	0	0	0	0.0694329
TRD	Pbre1_04G145200	young	2	False	0	0	0	0.0250146
TD	Pbre1_01G314800	young	2	False	0	0	0	0.0844084
PD	Pbre1_04G336000	young	1	False	0	0	0	0.0666937
TRD	Pbre1_12G292000	young	1	False	0	0	0	0.0732186
PD	Pbre1_05G029200	young	1	False	0	0	0	0.0720833
TRD	Pbre1_02G259400	young	1	False	0	0	0	0.0809763
TRD	Pbre1_16G228000	young	1	False	0	0	0	0.0574469
PD	Pbre1_12G411600	young	1	False	0	0	0	0.0297889
PD	Pbre1_17G486800	young	1	False	0	0	0	0.0361119
TRD	Pbre1_13G460400	young	1	False	0	0	0	0.0349457
TD	Pbre1_11G090800	young	1	False	0	0	0	0.10144
TRD	Pbre1_16G435400	young	1	False	0	0	0	0.0854308
PD	Pbre1_16G097400	young	1	False	0	0	0	0.065907
TD	Pbre1_14G410400	young	2	False	0	0	0	0.0697415
PD	Pbre1_11G345200	young	1	False	0	0	0	0.0192133
TD	Pbre1_04G017200	young	1	False	0	0	0	0.0349503
TD	Pbre1_10G409800	young	2	False	0	0	0	0.0883336
TD	Pbre1_03G067600	young	2	False	0	0	0	0.0224158
TD	Pbre1_02G041800	young	2	True	0	0	0	0.0354425
TD	Pbre1_02G088000	young	2	True	0	0	0	0.0983499
PD	Pbre1_04G306200	young	1	False	0	0	0	0.0807982
PD	Pbre1_01G125600	young	1	False	0	0	0	0.0929445
TD	Pbre1_08G094400	young	2	False	0	0	0	0.039606
TD	Pbre1_15G050600	young	2	False	0	0	0	0.0388747
PD	Pbre1_16G046000	young	1	False	0	0	0	0.057365
TD	Pbre1_03G024000	young	2	False	0	0	0	0.028984
PD	Pbre1_11G389800	young	1	False	0	0	0	0.105819
PD	Pbre1_11G034600	young	1	False	0	0	0	0.0660903
PD	Pbre1_10G406000	young	1	False	0	0	0	0.0629683
TRD	Pbre1_17G488600	young	1	False	0	0	0	0.0555912
PD	Pbre1_07G101400	young	1	False	0	0	0	0.0209203
TD	Pbre1_05G387400	young	1	False	0	0	0	0.0590369
PD	Pbre1_01G326600	young	2	False	0	0	0	0.0113729
TRD	Pbre1_16G370400	young	1	False	0	0	0	0.106784
PD	Pbre1_02G020600	young	1	False	0	0	0	0.00248441
TD	Pbre1_03G219800	young	2	False	0	0	0	0.0445854
TRD	Pbre1_08G234200	young	1	False	0	0	0	0.0554096
TRD	Pbre1_17G309800	young	1	False	0	0	0	0.0883257
PD	Pbre1_11G030400	young	1	False	0	0	0	0.0950656
TRD	Pbre1_17G427400	young	1	False	0	0	0	0.108562
TD	Pbre1_02G120200	young	2	False	0	0	0	0.00950274
PD	Pbre1_10G260000	young	1	False	0	0	0	0.0161143
TD	Pbre1_05G098400	young	1	False	0	0	0	0.0367413
TRD	Pbre1_14G346200	young	1	False	0	0	0	0.0663418
TRD	Pbre1_09G358200	young	1	False	0	0	0	0.0200524
PD	Pbre1_04G294200	young	1	False	0	0	0	0.0450731
TD	Pbre1_03G404000	young	2	True	0	0	0	0.0997956
PD	Pbre1_13G464800	young	1	False	0	0	0	0.0567683
TRD	Pbre1_08G294400	young	1	False	0	0	0	0.0316681
PD	Pbre1_04G043200	young	1	False	0	0	0	0.0168816
TD	Pbre1_10G483200	young	1	False	0	0	0	0.0684018
TRD	Pbre1_07G241000	young	1	False	0	0	0	0.0570877
TRD	Pbre1_03G362800	young	1	False	0	0	0	0.0646868
TD	Pbre1_03G036600	young	2	False	0	0	0	0.0394686
PD	Pbre1_12G034200	young	1	False	0	0	0	0.0705423
TRD	Pbre1_17G326600	young	1	False	0	0	0	0.0978834
TD	Pbre1_14G213400	young	1	False	0	0	0	0.0721534
TRD	Pbre1_12G191800	young	1	False	0	0	0	0.0939574
TRD	Pbre1_07G288400	young	1	False	0	0	0	0.0959005
PD	Pbre1_13G072000	young	2	False	0	0	0	0.0114149
TRD	Pbre1_09G233200	young	1	False	0	0	0	0.0994794
TD	Pbre1_15G234200	young	2	True	0	0	0	0.0636963
TRD	Pbre1_14G346000	young	1	False	0	0	0	0.0161867
TRD	Pbre1_09G392800	young	1	False	0	0	0	0.106419
PD	Pbre1_02G479800	young	2	False	0	0	0	0.00530213
TRD	Pbre1_05G313800	young	1	False	0	0	0	0.0136956
TRD	Pbre1_14G176800	young	1	False	0	0	0	0.0214772
TRD	Pbre1_08G084600	young	1	False	0	0	0	0.0211584
TD	Pbre1_06G169200	young	1	False	0	0	0	0.0255126
TRD	Pbre1_17G427600	young	1	False	0	0	0	0.0328979
TD	Pbre1_02G488200	young	1	False	0	0	0	0.0976507
TRD	Pbre1_16G426800	young	1	False	0	0	0	0.0886564
TD	Pbre1_12G253400	young	2	True	0	0	0	0.0839974
TD	Pbre1_12G385600	young	1	False	0	0	0	0.0496367
PD	Pbre1_03G114000	young	1	False	0	0	0	0.0262182
TRD	Pbre1_03G340400	young	1	False	0	0	0	0.0639555
PD	Pbre1_09G157800	young	2	False	0	0	0	0.0162896
TRD	Pbre1_05G571600	young	2	False	0	0	0	0.0464947
TD	Pbre1_02G447200	young	2	True	0	0	0	0.0545472
TRD	Pbre1_15G064400	young	1	False	0	0	0	0.0114508
TD	Pbre1_02G412000	young	1	False	0	0	0	0.0345858
TRD	Pbre1_07G203400	young	1	False	0	0	0	0.0410376
PD	Pbre1_05G462600	young	2	True	0	0	0	0.105981
PD	Pbre1_12G108600	young	1	False	0	0	0	0.0863624
TRD	Pbre1_07G056800	young	1	False	0	0	0	0.111246
PD	Pbre1_02G451800	young	1	False	0	0	0	0.0691258
TRD	Pbre1_15G455400	young	1	False	0	0	0	0.0123278
PD	Pbre1_14G411400	young	1	False	0	0	0	0.111475
PD	Pbre1_12G276200	young	1	False	0	0	0	0.0581544
TRD	Pbre1_15G783600	young	1	False	0	0	0	0.0575201
TRD	Pbre1_15G566000	young	1	False	0	0	0	0.0915458
TD	Pbre1_12G109400	young	1	False	0	0	0	0.075647
PD	Pbre1_01G100200	young	1	False	0	0	0	0.0240245
TRD	Pbre1_02G487600	young	1	False	0	0	0	0.0668678
PD	Pbre1_06G231000	young	2	False	0	0	0	0.0243051
TD	Pbre1_10G199800	young	1	False	0	0	0	0.100301
TRD	Pbre1_04G076400	young	1	False	0	0	0	0.0499668
TRD	Pbre1_02G404000	young	1	False	0	0	0	0.0416232
TRD	Pbre1_12G025000	young	1	False	0	0	0	0.103471
TD	Pbre1_09G232800	young	2	False	0	0	0	0.0694329
TD	Pbre1_05G435200	young	2	False	0	0	0	0.0232601
TD	Pbre1_03G320800	young	1	False	0	0	0	0.038346
TRD	Pbre1_10G134800	young	1	False	0	0	0	0.110898
TD	Pbre1_07G108400	young	2	False	0	0	0	0.0351232
TRD	Pbre1_12G410600	young	1	False	0	0	0	0.0773755
TD	Pbre1_02G216800	young	1	False	0	0	0	0.110347
TRD	Pbre1_15G585800	young	1	False	0	0	0	0.0631581
TRD	Pbre1_08G278600	young	1	False	0	0	0	0.0954733
PD	Pbre1_15G307400	young	1	False	0	0	0	0.0384493
TRD	Pbre1_03G307200	young	1	False	0	0	0	0.0139043
TRD	Pbre1_09G464000	young	1	False	0	0	0	0.0945912
TRD	Pbre1_02G321000	young	1	False	0	0	0	0.0202127
TD	Pbre1_03G040600	young	1	False	0	0	0	0.0388611
PD	Pbre1_06G281400	young	2	True	0	0	0	0.0617051
PD	Pbre1_10G491200	young	1	False	0	0	0	0.056632
TRD	Pbre1_10G078800	young	1	False	0	0	0	0.0418906
TRD	Pbre1_12G173200	young	1	False	0	0	0	0.017594
TD	Pbre1_06G095400	young	2	False	0	0	0	0.053308
PD	Pbre1_01G125000	young	1	False	0	0	0	0.073841
PD	Pbre1_07G162000	young	1	False	0	0	0	0.0210339
TRD	Pbre1_06G197200	young	1	False	0	0	0	0.0136254
TD	Pbre1_05G420400	young	2	True	0	0	0	0.031329
TD	Pbre1_10G483400	young	2	False	0	0	0	0.0246791
TD	Pbre1_03G285600	young	2	True	0	0	0	0.0934393
TD	Pbre1_03G413600	young	2	False	0	0	0	0.0980626
TRD	Pbre1_15G784400	young	1	False	0	0	0	0.0158417
TD	Pbre1_09G158200	young	1	False	0	0	0	0.100104
TRD	Pbre1_15G763200	young	1	False	0	0	0	0.0859616
TD	Pbre1_04G032000	young	2	False	0	0	0	0.0546505
PD	Pbre1_09G184000	young	1	False	0	0	0	0.0566121
TD	Pbre1_15G488000	young	2	False	0	0	0	0.0785752
TD	Pbre1_15G310400	young	2	False	0	0	0	0.0408307
TRD	Pbre1_02G127200	young	1	False	0	0	0	0.108809
TD	Pbre1_02G120000	young	1	False	0	0	0	0.0107776
TD	Pbre1_17G416400	young	1	False	0	0	0	0.0553533
TRD	Pbre1_08G301400	young	1	False	0	0	0	0.0790586
TD	Pbre1_12G370200	young	2	False	0	0	0	0.0823795
TRD	Pbre1_06G189000	young	1	False	0	0	0	0.0322116
PD	Pbre1_12G108400	young	1	False	0	0	0	0.0100881
PD	Pbre1_04G310000	young	2	False	0	0	0	0.00907141
TRD	Pbre1_03G295400	young	1	False	0	0	0	0.013335
PD	Pbre1_07G066000	young	1	False	0	0	0	0.037085
TRD	Pbre1_01G110200	young	1	False	0	0	0	0.0909103
PD	Pbre1_17G101200	young	2	False	0	0	0	0.0729909
TRD	Pbre1_08G200800	young	1	False	0	0	0	0.103471
TRD	Pbre1_09G003200	young	1	False	0	0	0	0.0868016
TRD	Pbre1_02G417400	young	1	False	0	0	0	0.0111269
TD	Pbre1_08G094200	young	2	True	0	0	0	0.039606
TD	Pbre1_14G311800	young	1	False	0	0	0	0.0384374
TD	Pbre1_01G260800	young	2	True	0	0	0	0.0905064
TRD	Pbre1_01G034000	young	1	False	0	0	0	0.0604506
TRD	Pbre1_08G234400	young	1	False	0	0	0	0.0218118
PD	Pbre1_15G692800	young	1	False	0	0	0	0.0912453
TRD	Pbre1_11G394600	young	1	False	0	0	0	0.0133223
PD	Pbre1_15G745200	young	2	False	0	0	0	0.0282147
TD	Pbre1_02G021000	young	1	False	0	0	0	0.00248441
TRD	Pbre1_11G089400	young	1	False	0	0	0	0.0572793
PD	Pbre1_04G309600	young	1	False	0	0	0	0.0647913
TRD	Pbre1_15G553400	young	1	False	0	0	0	0.0997359
PD	Pbre1_15G299000	young	2	False	0	0	0	0.015606
PD	Pbre1_06G211800	young	1	False	0	0	0	0.0756748
TD	Pbre1_12G370600	young	2	False	0	0	0	0.0157793
TD	Pbre1_15G720000	young	2	False	0	0	0	0.0326614
TRD	Pbre1_17G125200	young	1	False	0	0	0	0.00485031
PD	Pbre1_09G281800	young	2	False	0	0	0	0.0171008
PD	Pbre1_11G162200	young	1	False	0	0	0	0.0319957
PD	Pbre1_04G294600	young	2	False	0	0	0	0.0607401
TD	Pbre1_10G506400	young	1	False	0	0	0	0.00315225
PD	Pbre1_07G241200	young	2	False	0	0	0	0.00548645
TRD	Pbre1_01G115000	young	1	False	0	0	0	0.02946
PD	Pbre1_02G253400	young	1	False	0	0	0	0.0370209
TD	Pbre1_05G181000	young	1	False	0	0	0	0.00868952
PD	Pbre1_14G173400	young	1	False	0	0	0	0.0735042
TD	Pbre1_11G254800	young	1	False	0	0	0	0.0704626
TRD	Pbre1_17G019000	young	1	False	0	0	0	0.0337978
PD	Pbre1_15G246000	young	1	False	0	0	0	0.0484605
TRD	Pbre1_16G498800	young	1	False	0	0	0	0.00329046
TRD	Pbre1_06G166600	young	1	False	0	0	0	0.111325
TRD	Pbre1_01G115200	young	1	False	0	0	0	0.0335
PD	Pbre1_01G233000	young	2	False	0	0	0	0.0172936
TRD	Pbre1_17G018800	young	1	False	0	0	0	0.0467979
TD	Pbre1_12G370400	young	2	False	0	0	0	0.0455531
TRD	Pbre1_02G036200	young	1	False	0	0	0	0.10032
TD	Pbre1_07G210400	young	1	False	0	0	0	0.076797
TD	Pbre1_03G071800	young	2	True	0	0	0	0.0659787
PD	Pbre1_13G444400	young	1	False	0	0	0	0.0198538
PD	Pbre1_02G340000	young	1	False	0	0	0	0.00487988
PD	Pbre1_11G517200	young	1	False	0	0	0	0.07873
TRD	Pbre1_02G484800	young	1	False	0	0	0	0.0854432
PD	Pbre1_08G036800	young	2	False	0	0	0	0.0102965
TD	Pbre1_17G265600	young	1	False	0	0	0	0.0719808
TRD	Pbre1_15G734800	young	1	False	0	0	0	0.0654041
PD	Pbre1_03G376800	young	1	False	0	0	0	0.048432
TD	Pbre1_05G246000	young	1	False	0	0	0	0.00936778
TD	Pbre1_09G236200	young	2	True	0	0	0	0.0391222
TD	Pbre1_15G720600	young	1	False	0	0	0	0.0190256
TRD	Pbre1_03G450600	young	1	False	0	0	0	0.043901
PD	Pbre1_15G298600	young	2	False	0	0	0	0.0151156
PD	Pbre1_14G082800	young	2	True	0	0	0	0.0754964
TD	Pbre1_04G017600	young	2	False	0	0	0	0.0465928
TRD	Pbre1_11G456400	young	1	False	0	0	0	0.0994813
TRD	Pbre1_10G499000	young	1	False	0	0	0	0.104651
TRD	Pbre1_17G265000	young	1	False	0	0	0	0.0324253
TD	Pbre1_05G010800	young	2	False	0	0	0	0.0262518
TRD	Pbre1_03G209400	young	1	False	0	0	0	0.0649794
TD	Pbre1_10G080400	young	1	False	0	0	0	0.0661459
PD	Pbre1_02G452400	young	2	False	0	0	0	0.0691258
PD	Pbre1_06G380800	young	1	False	0	0	0	1.77032e-06
TRD	Pbre1_02G012400	young	1	False	0	0	0	0.0930762
TD	Pbre1_03G471200	young	2	False	0	0	0	0.0589528
TRD	Pbre1_17G264800	young	1	False	0	0	0	0.080386
TD	Pbre1_04G060000	young	1	False	0	0	0	0.0166263
TD	Pbre1_06G014200	young	1	False	0	0	0	0.0722881
TD	Pbre1_01G201400	young	1	False	0	0	0	0.108338
TD	Pbre1_07G056400	young	1	False	0	0	0	0.0631981
PD	Pbre1_16G513600	young	1	False	0	0	0	0.00256503
TD	Pbre1_03G046400	young	2	True	0	0	0	0.0316547
TRD	Pbre1_06G052600	young	1	False	0	0	0	0.0820463
TD	Pbre1_16G149600	young	2	False	0	0	0	0.0484752
TRD	Pbre1_07G094800	young	1	False	0	0	0	0.111016
TD	Pbre1_06G047600	young	1	False	0	0	0	0.0134275
PD	Pbre1_03G037200	young	1	False	0	0	0	0.0960125
TD	Pbre1_03G064800	young	2	False	0	0	0	0.0665085
TD	Pbre1_03G413400	young	1	False	0	0	0	0.101115
PD	Pbre1_05G231200	young	1	False	0	0	0	0.0797194
TD	Pbre1_06G095600	young	2	False	0	0	0	0.0539066
PD	Pbre1_17G416200	young	2	True	0	0	0	0.0534442
PD	Pbre1_05G134400	young	2	False	0	0	0	0.0397252
TRD	Pbre1_06G080400	young	1	False	0	0	0	0.0992541
PD	Pbre1_02G420400	young	2	False	0	0	0	0.0531142
TRD	Pbre1_17G455000	young	1	False	0	0	0	0.0710521
PD	Pbre1_16G410600	young	1	False	0	0	0	0.0128294
PD	Pbre1_11G295400	young	1	False	0	0	0	0.0255534
TD	Pbre1_05G010600	young	1	False	0	0	0	0.0262518
TD	Pbre1_09G210400	young	1	False	0	0	0	0.0997089
PD	Pbre1_03G121600	young	1	False	0	0	0	0.0924909
TRD	Pbre1_07G129600	young	1	False	0	0	0	0.0112988
PD	Pbre1_12G276000	young	1	False	0	0	0	0.0561766
TD	Pbre1_09G267800	young	1	False	0	0	0	0.111492
PD	Pbre1_14G279200	young	1	False	0	0	0	0.0772723
TD	Pbre1_08G036000	young	2	False	0	0	0	0.0358608
TD	Pbre1_10G410000	young	2	False	0	0	0	0.0945675
PD	Pbre1_02G020800	young	1	False	0	0	0	0.0485499
TRD	Pbre1_12G143400	young	2	True	0	0	0	0.0791133
PD	Pbre1_17G083800	young	1	False	0	0	0	0.105189
TRD	Pbre1_03G089800	young	1	False	0	0	0	0.0891178
TRD	Pbre1_01G004000	young	1	False	0	0	0	0.00486813
TD	Pbre1_16G459600	young	2	False	0	0	0	0.00594738
