duplication_type	pair_age	gene1	gene2	Ks
TRD	young	Pbre1_05G141000	Pbre1_05G198000	0.0527999
TRD	old	Pbre1_17G426000	Pbre1_02G292000	0.127985
TD	old	Pbre1_11G144200	Pbre1_11G144400	0.474719
PD	young	Pbre1_06G036400	Pbre1_06G037400	0.0470379
PD	old	Pbre1_04G197600	Pbre1_04G199400	0.0842429
TRD	old	Pbre1_03G334400	Pbre1_17G008000	0.372697
TRD	old	Pbre1_17G386800	Pbre1_09G376000	0.374871
TRD	old	Pbre1_05G383800	Pbre1_05G582600	0.1914
TRD	old	Pbre1_07G022400	Pbre1_13G440600	0.315918
PD	old	Pbre1_14G313000	Pbre1_14G313400	0.12159
TD	old	Pbre1_17G328400	Pbre1_17G328600	0.114436
TD	old	Pbre1_17G249000	Pbre1_17G249200	0.371938
TD	old	Pbre1_14G264200	Pbre1_14G264400	0.118288
TRD	young	Pbre1_06G329200	Pbre1_17G029600	0.0616326
PD	old	Pbre1_17G087400	Pbre1_17G088000	0.281537
TD	old	Pbre1_15G146200	Pbre1_15G146400	0.0920205
TD	old	Pbre1_06G319800	Pbre1_06G320000	0.295348
TD	young	Pbre1_11G441000	Pbre1_11G441200	0.109653
TD	old	Pbre1_17G405200	Pbre1_17G405400	0.17618
TRD	old	Pbre1_13G489000	Pbre1_07G342800	0.287578
TRD	old	Pbre1_04G106000	Pbre1_07G136400	0.329886
TRD	old	Pbre1_09G145000	Pbre1_09G137400	0.171216
TRD	old	Pbre1_14G404400	Pbre1_06G366800	0.272764
PD	old	Pbre1_06G379800	Pbre1_06G381000	0.0498644
TD	old	Pbre1_02G223800	Pbre1_02G224000	0.239501
TRD	old	Pbre1_11G125800	Pbre1_03G121000	0.158627
TRD	young	Pbre1_12G173000	Pbre1_10G578400	0.0910057
PD	old	Pbre1_17G415800	Pbre1_17G416200	0.119978
TD	old	Pbre1_11G043600	Pbre1_11G043800	0.155299
TRD	old	Pbre1_11G316800	Pbre1_09G243200	0.176785
TD	young	Pbre1_10G517800	Pbre1_10G518000	0.0136114
TD	young	Pbre1_11G455200	Pbre1_11G455400	0.0256796
TD	young	Pbre1_01G128400	Pbre1_01G128600	0.0131049
TRD	old	Pbre1_16G361400	Pbre1_07G222800	0.384681
TD	young	Pbre1_06G262000	Pbre1_06G262200	0.106194
TD	young	Pbre1_10G369800	Pbre1_10G370000	0.0784558
PD	young	Pbre1_15G763000	Pbre1_15G763800	0.109907
PD	young	Pbre1_17G211400	Pbre1_17G211800	0.0267154
PD	old	Pbre1_17G079000	Pbre1_17G079400	0.39458
TD	old	Pbre1_16G063600	Pbre1_16G063800	0.435137
TRD	old	Pbre1_12G415400	Pbre1_04G388600	0.249134
TRD	old	Pbre1_16G432200	Pbre1_01G036600	0.142653
TRD	old	Pbre1_16G394400	Pbre1_02G225600	0.241179
TRD	old	Pbre1_11G405800	Pbre1_01G087800	0.171513
PD	old	Pbre1_02G218000	Pbre1_02G218600	0.304685
PD	old	Pbre1_03G412800	Pbre1_03G413200	0.307311
TRD	old	Pbre1_17G068800	Pbre1_07G504800	0.25226
PD	old	Pbre1_02G419800	Pbre1_02G420800	0.32824
TRD	old	Pbre1_11G475400	Pbre1_11G459800	0.434544
TRD	old	Pbre1_05G027000	Pbre1_04G333200	0.330539
TRD	old	Pbre1_05G435600	Pbre1_05G243800	0.216386
PD	old	Pbre1_17G216000	Pbre1_17G217600	0.0486636
TD	young	Pbre1_04G301200	Pbre1_04G301400	0.0334532
TD	young	Pbre1_09G065200	Pbre1_09G065400	0.0490542
PD	old	Pbre1_09G155600	Pbre1_09G156000	0.16297
TD	old	Pbre1_14G209800	Pbre1_14G210000	0.166464
TRD	old	Pbre1_05G186000	Pbre1_12G061600	0.247666
TD	old	Pbre1_10G014400	Pbre1_10G014600	0.299381
TRD	old	Pbre1_08G349400	Pbre1_03G214800	0.154506
TRD	old	Pbre1_09G359200	Pbre1_17G354400	0.339137
TRD	old	Pbre1_17G100800	Pbre1_10G174200	0.305535
TRD	old	Pbre1_15G317600	Pbre1_02G067600	0.0990262
TRD	old	Pbre1_15G502600	Pbre1_12G406200	0.131599
TD	old	Pbre1_08G150000	Pbre1_08G150200	0.141489
TRD	old	Pbre1_16G407000	Pbre1_16G413800	0.455998
TRD	young	Pbre1_13G349000	Pbre1_13G258800	0.0809546
TD	young	Pbre1_17G224800	Pbre1_17G225000	0.00985974
PD	young	Pbre1_05G432600	Pbre1_05G433200	0.0855707
TRD	old	Pbre1_05G116000	Pbre1_11G403800	0.385519
PD	old	Pbre1_08G056600	Pbre1_08G057000	0.389926
TD	old	Pbre1_02G449600	Pbre1_02G449800	0.276428
TRD	old	Pbre1_14G154000	Pbre1_15G650000	0.209323
TRD	old	Pbre1_17G136600	Pbre1_17G290600	0.188125
TD	young	Pbre1_09G406600	Pbre1_09G406800	0.0685975
TD	young	Pbre1_14G010200	Pbre1_14G010400	0.105607
TD	old	Pbre1_10G352600	Pbre1_10G352800	0.374392
TRD	young	Pbre1_05G310800	Pbre1_05G141400	0.0813037
TD	old	Pbre1_01G156200	Pbre1_01G156400	0.459513
TRD	old	Pbre1_07G031200	Pbre1_07G026600	0.179766
TD	young	Pbre1_10G229800	Pbre1_10G230000	0.0253911
TD	young	Pbre1_08G166800	Pbre1_08G167000	0.0950267
TD	young	Pbre1_15G707000	Pbre1_15G707200	0.0669966
PD	old	Pbre1_03G230000	Pbre1_03G230400	0.321416
PD	young	Pbre1_10G163200	Pbre1_10G163600	0.0433909
PD	old	Pbre1_15G675400	Pbre1_15G676200	0.326062
TRD	young	Pbre1_15G338000	Pbre1_02G088600	0.111189
PD	old	Pbre1_10G353600	Pbre1_10G354000	0.189618
TRD	old	Pbre1_07G164800	Pbre1_10G123400	0.0571471
TD	old	Pbre1_15G748800	Pbre1_15G749000	0.319957
PD	young	Pbre1_05G262600	Pbre1_05G263000	0.103642
TD	old	Pbre1_13G223000	Pbre1_13G223200	0.124151
PD	old	Pbre1_07G140000	Pbre1_07G140600	0.273895
TRD	young	Pbre1_08G176200	Pbre1_08G186000	0.048788
PD	young	Pbre1_09G282200	Pbre1_09G282800	0.0173903
TD	young	Pbre1_08G138000	Pbre1_08G138200	0.0914821
PD	young	Pbre1_02G032400	Pbre1_02G034200	0.0369136
PD	young	Pbre1_10G372400	Pbre1_10G372800	0.0615785
TD	old	Pbre1_02G344600	Pbre1_02G344800	0.159549
PD	old	Pbre1_01G137400	Pbre1_01G138000	0.302294
TRD	old	Pbre1_11G049000	Pbre1_11G464600	0.235625
PD	young	Pbre1_17G215800	Pbre1_17G217200	0.0204793
TRD	old	Pbre1_10G334000	Pbre1_16G057200	0.12531
TRD	old	Pbre1_04G396200	Pbre1_12G422400	0.161774
TD	old	Pbre1_16G015200	Pbre1_16G015400	0.310478
TRD	young	Pbre1_15G780200	Pbre1_08G410800	0.0661783
TD	young	Pbre1_07G065800	Pbre1_07G066000	0.059481
TD	young	Pbre1_11G359600	Pbre1_11G359800	0.111329
PD	old	Pbre1_17G365200	Pbre1_17G366000	0.163836
TRD	old	Pbre1_10G328800	Pbre1_05G344800	0.16494
PD	old	Pbre1_06G346400	Pbre1_06G348200	0.43577
TD	young	Pbre1_17G239200	Pbre1_17G239400	0.0211559
PD	young	Pbre1_15G082600	Pbre1_15G083000	0.0643709
PD	old	Pbre1_16G044800	Pbre1_16G045200	0.15905
TRD	old	Pbre1_09G463800	Pbre1_01G055800	0.42962
TD	old	Pbre1_07G156200	Pbre1_07G156400	0.17755
TD	old	Pbre1_01G244200	Pbre1_01G244400	0.183783
PD	young	Pbre1_03G347600	Pbre1_03G348000	0.00709641
PD	old	Pbre1_07G159600	Pbre1_07G160400	0.196383
TRD	old	Pbre1_13G213200	Pbre1_03G439000	0.355156
TRD	old	Pbre1_07G426400	Pbre1_01G352000	0.213829
PD	old	Pbre1_17G215000	Pbre1_17G215400	0.348548
PD	old	Pbre1_03G113800	Pbre1_03G114600	0.273131
TD	old	Pbre1_05G488400	Pbre1_05G488600	0.399359
TD	old	Pbre1_05G060600	Pbre1_05G060800	0.252464
TD	old	Pbre1_02G087800	Pbre1_02G088000	0.168144
TD	old	Pbre1_08G114400	Pbre1_08G114600	0.212296
TRD	old	Pbre1_16G203000	Pbre1_15G365600	0.118041
TD	old	Pbre1_15G458400	Pbre1_15G458600	0.155071
TD	old	Pbre1_08G165400	Pbre1_08G165600	0.40484
TD	old	Pbre1_14G030400	Pbre1_14G030600	0.0715637
TD	old	Pbre1_12G057400	Pbre1_12G057600	0.121651
PD	old	Pbre1_11G093000	Pbre1_11G093400	0.244376
TRD	old	Pbre1_17G322600	Pbre1_04G080600	0.13615
TRD	old	Pbre1_02G361000	Pbre1_02G087800	0.428865
TRD	old	Pbre1_14G249400	Pbre1_06G209200	0.204164
PD	young	Pbre1_10G332000	Pbre1_10G332400	0.0612296
TRD	old	Pbre1_03G099000	Pbre1_03G217000	0.300723
TRD	old	Pbre1_01G406200	Pbre1_01G424800	0.233923
PD	old	Pbre1_10G314200	Pbre1_10G314600	0.446183
TRD	old	Pbre1_09G395400	Pbre1_17G411600	0.126066
TRD	old	Pbre1_03G154400	Pbre1_07G507800	0.160583
TRD	young	Pbre1_15G202000	Pbre1_06G074800	0.0941578
PD	old	Pbre1_03G377000	Pbre1_03G377600	0.254654
TD	old	Pbre1_12G397000	Pbre1_12G397200	0.372224
TRD	young	Pbre1_07G078000	Pbre1_15G755600	0.0715273
TRD	old	Pbre1_10G439800	Pbre1_10G581600	0.19338
PD	old	Pbre1_11G274400	Pbre1_11G275000	0.209023
TD	old	Pbre1_03G297200	Pbre1_03G297400	0.148774
TD	young	Pbre1_02G373800	Pbre1_02G374000	0.0799376
PD	old	Pbre1_05G540400	Pbre1_05G540800	0.44728
TRD	old	Pbre1_02G310800	Pbre1_06G144600	0.429509
TD	old	Pbre1_06G071400	Pbre1_06G071600	0.175148
TRD	young	Pbre1_09G393000	Pbre1_12G017400	0.0939162
PD	old	Pbre1_17G443400	Pbre1_17G445000	0.16793
TD	young	Pbre1_16G315200	Pbre1_16G315400	0.0208152
TD	old	Pbre1_10G236400	Pbre1_10G236600	0.183701
TD	old	Pbre1_17G225800	Pbre1_17G226000	0.36343
PD	old	Pbre1_09G174000	Pbre1_09G174400	0.156803
PD	young	Pbre1_14G139200	Pbre1_14G140000	0.0731818
TD	young	Pbre1_14G132200	Pbre1_14G132400	0.0294199
PD	old	Pbre1_05G582600	Pbre1_05G583600	0.237408
TD	old	Pbre1_01G244000	Pbre1_01G244200	0.125579
TD	old	Pbre1_16G130400	Pbre1_16G130600	0.146515
TRD	old	Pbre1_17G173400	Pbre1_12G057000	0.419978
TD	old	Pbre1_14G061000	Pbre1_14G061200	0.211547
TRD	young	Pbre1_16G401400	Pbre1_06G273800	0.00493587
TRD	young	Pbre1_09G394800	Pbre1_17G411600	0.104961
TRD	old	Pbre1_15G146800	Pbre1_08G159000	0.2051
TRD	old	Pbre1_16G324400	Pbre1_05G166000	0.448473
TRD	old	Pbre1_11G325600	Pbre1_03G307400	0.136459
PD	young	Pbre1_16G402200	Pbre1_16G402600	0.00721663
TD	young	Pbre1_09G470400	Pbre1_09G470600	0.0603649
TRD	old	Pbre1_12G259400	Pbre1_04G223000	0.172441
TD	old	Pbre1_10G535000	Pbre1_10G535200	0.121994
TRD	old	Pbre1_11G279800	Pbre1_11G403800	0.308772
TRD	old	Pbre1_10G347400	Pbre1_15G319400	0.269511
TD	young	Pbre1_05G317400	Pbre1_05G317600	0.0056916
TD	young	Pbre1_07G082600	Pbre1_07G082800	0.0496966
TRD	young	Pbre1_17G502800	Pbre1_13G471000	0.0831399
TD	old	Pbre1_17G398200	Pbre1_17G398400	0.464261
TD	old	Pbre1_05G376200	Pbre1_05G376400	0.126466
TD	old	Pbre1_16G304000	Pbre1_16G304200	0.202599
PD	young	Pbre1_12G157000	Pbre1_12G157400	0.0973418
PD	young	Pbre1_07G148800	Pbre1_07G149800	0.016478
TD	old	Pbre1_16G281600	Pbre1_16G281800	0.138988
TRD	old	Pbre1_17G173400	Pbre1_14G054000	0.316221
TRD	old	Pbre1_15G395800	Pbre1_02G148600	0.150847
TRD	old	Pbre1_08G232000	Pbre1_05G568800	0.384751
TRD	old	Pbre1_13G276800	Pbre1_08G037200	0.31312
PD	old	Pbre1_02G402200	Pbre1_02G402800	0.128084
PD	old	Pbre1_05G582600	Pbre1_05G583000	0.200699
TD	young	Pbre1_03G471000	Pbre1_03G471200	0.0589528
TRD	old	Pbre1_09G461600	Pbre1_13G018800	0.459019
TRD	old	Pbre1_16G243400	Pbre1_03G479600	0.257145
TRD	young	Pbre1_11G085200	Pbre1_05G477800	0.0848538
TRD	young	Pbre1_10G446600	Pbre1_05G472800	0.0927031
TRD	old	Pbre1_15G631000	Pbre1_15G370000	0.0905341
PD	young	Pbre1_13G422600	Pbre1_13G423200	0.0173985
TD	old	Pbre1_05G110600	Pbre1_05G110800	0.335112
TRD	old	Pbre1_05G603200	Pbre1_06G079200	0.424414
PD	old	Pbre1_03G308400	Pbre1_03G308800	0.240768
PD	young	Pbre1_05G540200	Pbre1_05G540600	0.0680369
TRD	old	Pbre1_15G484000	Pbre1_10G014400	0.329396
TD	young	Pbre1_15G702000	Pbre1_15G702200	0.040984
TD	young	Pbre1_09G333800	Pbre1_09G334000	0.0730064
TD	old	Pbre1_02G122800	Pbre1_02G123000	0.233071
PD	old	Pbre1_13G194800	Pbre1_13G195400	0.427769
TD	old	Pbre1_02G171800	Pbre1_02G172000	0.473282
PD	old	Pbre1_07G162400	Pbre1_07G163600	0.300734
TD	young	Pbre1_15G701800	Pbre1_15G702000	0.0480097
PD	old	Pbre1_05G228000	Pbre1_05G228600	0.258781
TRD	old	Pbre1_06G417600	Pbre1_16G208000	0.128766
TRD	old	Pbre1_10G117200	Pbre1_13G200800	0.30148
TRD	young	Pbre1_16G369200	Pbre1_16G057200	0.105059
TD	old	Pbre1_15G502000	Pbre1_15G502200	0.46701
TRD	old	Pbre1_11G376000	Pbre1_01G340200	0.377495
PD	old	Pbre1_05G250000	Pbre1_05G250600	0.264455
PD	young	Pbre1_12G277000	Pbre1_12G277600	0.0172306
PD	old	Pbre1_04G335000	Pbre1_04G335400	0.278298
PD	old	Pbre1_12G324800	Pbre1_12G325200	0.327981
TD	old	Pbre1_11G137200	Pbre1_11G137400	0.260634
TRD	old	Pbre1_05G322600	Pbre1_12G174000	0.127025
TRD	old	Pbre1_05G314800	Pbre1_10G305400	0.301169
TRD	old	Pbre1_09G374200	Pbre1_17G395800	0.151126
TRD	old	Pbre1_02G066800	Pbre1_15G316800	0.197924
TD	young	Pbre1_11G357800	Pbre1_11G358000	0.0566656
TD	old	Pbre1_10G338800	Pbre1_10G339000	0.288819
PD	young	Pbre1_17G116400	Pbre1_17G116800	0.0128668
TRD	old	Pbre1_15G053000	Pbre1_08G058000	0.278097
TD	old	Pbre1_06G007200	Pbre1_06G007400	0.444863
TRD	old	Pbre1_02G203000	Pbre1_05G250000	0.240266
TRD	old	Pbre1_16G460200	Pbre1_12G262800	0.279487
PD	young	Pbre1_02G395800	Pbre1_02G396600	0.055561
TRD	old	Pbre1_02G076400	Pbre1_03G459800	0.129525
TD	old	Pbre1_02G415200	Pbre1_02G415400	0.275901
TRD	young	Pbre1_07G197000	Pbre1_10G161600	0.00979546
TRD	old	Pbre1_17G081000	Pbre1_17G078200	0.157999
PD	young	Pbre1_11G442800	Pbre1_11G444400	0.0182158
TD	young	Pbre1_08G236600	Pbre1_08G236800	0.0291372
PD	young	Pbre1_02G422400	Pbre1_02G423200	0.108531
TD	old	Pbre1_02G148000	Pbre1_02G148200	0.211506
TRD	old	Pbre1_14G426400	Pbre1_06G388200	0.148771
TD	old	Pbre1_08G058400	Pbre1_08G058600	0.149683
TRD	old	Pbre1_05G579200	Pbre1_10G563200	0.177775
TRD	old	Pbre1_17G102800	Pbre1_09G204200	0.371728
TRD	old	Pbre1_16G167600	Pbre1_09G107600	0.424078
TD	old	Pbre1_04G005200	Pbre1_04G005400	0.399911
TRD	old	Pbre1_15G713200	Pbre1_15G727000	0.220896
TRD	old	Pbre1_08G067400	Pbre1_13G310000	0.241262
TD	old	Pbre1_03G455800	Pbre1_03G456000	0.117525
TRD	old	Pbre1_15G486000	Pbre1_02G248200	0.162886
TD	old	Pbre1_09G435800	Pbre1_09G436000	0.176173
TRD	old	Pbre1_08G393800	Pbre1_15G757200	0.253015
TRD	old	Pbre1_10G168200	Pbre1_11G356200	0.285108
TD	old	Pbre1_15G570000	Pbre1_15G570200	0.19426
TD	old	Pbre1_15G034600	Pbre1_15G034800	0.39222
TRD	old	Pbre1_05G591000	Pbre1_04G050400	0.389262
PD	old	Pbre1_09G042400	Pbre1_09G042800	0.237693
TD	old	Pbre1_11G191000	Pbre1_11G191200	0.205169
PD	young	Pbre1_11G015600	Pbre1_11G016200	0.0748567
TD	old	Pbre1_01G379000	Pbre1_01G379200	0.200168
TD	old	Pbre1_07G492800	Pbre1_07G493000	0.304839
TD	young	Pbre1_07G492400	Pbre1_07G492600	0.0821327
TRD	young	Pbre1_11G274800	Pbre1_04G293400	0.0784348
PD	old	Pbre1_03G204600	Pbre1_03G205200	0.340268
PD	old	Pbre1_07G419800	Pbre1_07G421200	0.13974
TD	old	Pbre1_11G090200	Pbre1_11G090400	0.183351
PD	young	Pbre1_10G069000	Pbre1_10G070200	0.0424835
TD	old	Pbre1_16G248000	Pbre1_16G248200	0.446306
TD	young	Pbre1_11G507600	Pbre1_11G507800	0.0606024
TD	young	Pbre1_10G577000	Pbre1_10G577200	0.0685744
TRD	old	Pbre1_13G468000	Pbre1_03G346600	0.286935
TD	old	Pbre1_03G074600	Pbre1_03G074800	0.241668
TD	young	Pbre1_12G221600	Pbre1_12G221800	0.0935442
PD	old	Pbre1_09G330200	Pbre1_09G330800	0.0855662
TD	old	Pbre1_10G353800	Pbre1_10G354000	0.243932
TRD	old	Pbre1_14G370800	Pbre1_05G497000	0.296534
TD	old	Pbre1_03G186600	Pbre1_03G186800	0.132081
TRD	old	Pbre1_03G190600	Pbre1_13G032400	0.157023
PD	young	Pbre1_17G230600	Pbre1_17G231200	0.0375498
TD	old	Pbre1_07G333600	Pbre1_07G333800	0.282901
PD	old	Pbre1_08G333400	Pbre1_08G334000	0.129286
TRD	old	Pbre1_05G074800	Pbre1_10G445400	0.434835
PD	old	Pbre1_08G161400	Pbre1_08G162000	0.13021
TRD	old	Pbre1_12G191400	Pbre1_12G286000	0.18463
TRD	young	Pbre1_17G251400	Pbre1_09G259200	0.0883548
PD	old	Pbre1_08G161800	Pbre1_08G162400	0.233388
TD	old	Pbre1_05G022000	Pbre1_05G022200	0.124546
TD	old	Pbre1_15G233800	Pbre1_15G234000	0.17572
TRD	old	Pbre1_13G488400	Pbre1_05G592800	0.423275
TRD	old	Pbre1_03G081400	Pbre1_11G081200	0.161234
PD	old	Pbre1_03G016200	Pbre1_03G016800	0.137137
TD	old	Pbre1_06G317200	Pbre1_06G317400	0.381778
TRD	old	Pbre1_02G484400	Pbre1_07G025200	0.198562
PD	old	Pbre1_13G010400	Pbre1_13G010800	0.294631
TD	old	Pbre1_04G281200	Pbre1_04G281400	0.124482
TRD	old	Pbre1_07G407600	Pbre1_11G017600	0.313916
TD	young	Pbre1_02G155200	Pbre1_02G155400	0.0971282
TRD	old	Pbre1_15G320000	Pbre1_12G203000	0.39271
TRD	young	Pbre1_01G365600	Pbre1_07G439800	0.0772224
PD	old	Pbre1_17G287000	Pbre1_17G287400	0.180384
TD	young	Pbre1_01G331600	Pbre1_01G331800	0.0954632
TD	young	Pbre1_14G380000	Pbre1_14G380200	0.0594544
TD	young	Pbre1_03G299200	Pbre1_03G299400	0.107678
TD	young	Pbre1_01G216400	Pbre1_01G216600	0.0826686
PD	young	Pbre1_07G425000	Pbre1_07G425400	0.0709883
PD	old	Pbre1_09G451000	Pbre1_09G451400	0.155339
PD	young	Pbre1_15G695200	Pbre1_15G695800	0.0686912
PD	young	Pbre1_09G264200	Pbre1_09G264600	0.0677062
TRD	old	Pbre1_04G381200	Pbre1_12G405400	0.179616
TD	old	Pbre1_01G128000	Pbre1_01G128200	0.3962
PD	young	Pbre1_16G077800	Pbre1_16G078400	0.064277
PD	old	Pbre1_11G399800	Pbre1_11G400800	0.215452
TRD	old	Pbre1_07G443200	Pbre1_07G448200	0.170291
TD	young	Pbre1_03G386200	Pbre1_03G386400	0.0280171
PD	old	Pbre1_11G358600	Pbre1_11G359000	0.268604
TRD	old	Pbre1_14G109200	Pbre1_16G354600	0.291333
TRD	old	Pbre1_08G004200	Pbre1_15G002200	0.139598
TD	young	Pbre1_06G409000	Pbre1_06G409200	0.0892999
TD	young	Pbre1_09G093800	Pbre1_09G094000	0.091007
TRD	old	Pbre1_02G460800	Pbre1_12G196000	0.132135
PD	old	Pbre1_01G141200	Pbre1_01G142200	0.0535564
PD	young	Pbre1_04G217200	Pbre1_04G217600	0.0722825
TRD	old	Pbre1_03G264400	Pbre1_03G215400	0.0879684
TRD	old	Pbre1_16G408600	Pbre1_05G059200	0.22779
TRD	old	Pbre1_14G443200	Pbre1_06G303800	0.353408
TD	young	Pbre1_16G041000	Pbre1_16G041200	0.0380345
TRD	old	Pbre1_16G193600	Pbre1_13G186400	0.267218
TD	old	Pbre1_09G306200	Pbre1_09G306400	0.407884
PD	young	Pbre1_15G740400	Pbre1_15G740800	0.00888115
TRD	young	Pbre1_17G264600	Pbre1_08G043200	0.0799493
PD	old	Pbre1_06G344000	Pbre1_06G344400	0.132173
PD	old	Pbre1_10G579200	Pbre1_10G579600	0.166602
TD	young	Pbre1_17G112200	Pbre1_17G112400	0.0829
TRD	old	Pbre1_01G060200	Pbre1_15G595600	0.158123
PD	young	Pbre1_05G126000	Pbre1_05G126600	0.0567772
TD	old	Pbre1_17G138400	Pbre1_17G138600	0.112833
TRD	old	Pbre1_02G098200	Pbre1_15G348600	0.13627
TRD	old	Pbre1_14G107200	Pbre1_14G117200	0.163807
TD	old	Pbre1_05G047200	Pbre1_05G047400	0.118097
TD	young	Pbre1_17G378600	Pbre1_17G378800	0.0957487
TD	old	Pbre1_16G341400	Pbre1_16G341600	0.195648
TD	old	Pbre1_09G202200	Pbre1_09G202400	0.106536
PD	young	Pbre1_07G015400	Pbre1_07G016000	0.109826
PD	old	Pbre1_11G031000	Pbre1_11G032600	0.293582
TRD	old	Pbre1_17G125400	Pbre1_06G066400	0.234147
PD	old	Pbre1_14G307600	Pbre1_14G308400	0.348322
TD	old	Pbre1_03G027400	Pbre1_03G027600	0.0316704
TRD	old	Pbre1_16G026600	Pbre1_13G026200	0.131338
PD	old	Pbre1_14G057200	Pbre1_14G057600	0.393045
PD	old	Pbre1_03G198000	Pbre1_03G199400	0.343434
TD	old	Pbre1_02G456000	Pbre1_02G456200	0.429569
TRD	old	Pbre1_16G016800	Pbre1_13G019000	0.250074
PD	old	Pbre1_17G415600	Pbre1_17G416000	0.335776
PD	old	Pbre1_14G107800	Pbre1_14G108200	0.148686
TRD	old	Pbre1_15G337800	Pbre1_02G088600	0.134283
PD	young	Pbre1_16G051000	Pbre1_16G051400	0.0567713
PD	old	Pbre1_17G083600	Pbre1_17G084200	0.165954
TD	young	Pbre1_12G379800	Pbre1_12G380000	0.0718505
TD	old	Pbre1_01G260400	Pbre1_01G260600	0.117277
TRD	young	Pbre1_09G256200	Pbre1_17G107800	0.111139
TD	old	Pbre1_04G108600	Pbre1_04G108800	0.124239
TRD	old	Pbre1_07G258400	Pbre1_14G144000	0.129603
PD	old	Pbre1_02G458400	Pbre1_02G459200	0.43655
PD	young	Pbre1_01G009800	Pbre1_01G010800	0.00874465
TD	old	Pbre1_06G222400	Pbre1_06G222600	0.138975
TD	young	Pbre1_06G068000	Pbre1_06G068200	0.0719614
TRD	old	Pbre1_15G715600	Pbre1_07G215800	0.120478
TRD	old	Pbre1_06G269200	Pbre1_14G306800	0.349054
TD	young	Pbre1_05G416800	Pbre1_05G417000	0.0769985
PD	old	Pbre1_02G200600	Pbre1_02G201000	0.19697
PD	young	Pbre1_17G113800	Pbre1_17G114200	0.110018
PD	old	Pbre1_08G202400	Pbre1_08G202800	0.212401
TRD	old	Pbre1_09G451800	Pbre1_05G119600	0.404671
