chrom	start	end	size_kb	sample
Chr10	14980000	15280000	300.0	rep1
Chr10	15280000	15440000	160.0	rep1
Chr10	15440000	15510000	70.0	rep1
Chr10	15510000	15590000	80.0	rep1
Chr10	15590000	15750000	160.0	rep1
Chr10	15750000	15950000	200.0	rep1
Chr10	15950000	16010000	60.0	rep1
Chr10	16010000	16190000	180.0	rep1
Chr10	16190000	16290000	100.0	rep1
Chr10	16290000	16400000	110.0	rep1
Chr10	16400000	16470000	70.0	rep1
Chr10	16470000	16540000	70.0	rep1
Chr10	16540000	16660000	120.0	rep1
Chr10	16660000	16880000	220.0	rep1
Chr10	16880000	16930000	50.0	rep1
Chr10	16930000	17110000	180.0	rep1
Chr10	17110000	17190000	80.0	rep1
Chr10	17190000	17340000	150.0	rep1
Chr10	17340000	17400000	60.0	rep1
Chr10	17400000	17530000	130.0	rep1
Chr10	17530000	17590000	60.0	rep1
Chr10	17590000	17680000	90.0	rep1
Chr10	17680000	17790000	110.0	rep1
Chr10	17790000	17920000	130.0	rep1
Chr10	17920000	18040000	120.0	rep1
Chr10	18040000	18240000	200.0	rep1
Chr10	18240000	18330000	90.0	rep1
Chr10	18330000	18540000	210.0	rep1
Chr10	18540000	18860000	320.0	rep1
Chr10	18860000	18930000	70.0	rep1
Chr10	18930000	19000000	70.0	rep1
Chr10	19000000	19220000	220.0	rep1
Chr10	19220000	19380000	160.0	rep1
Chr10	19380000	19560000	180.0	rep1
Chr10	19560000	19640000	80.0	rep1
Chr10	19640000	19720000	80.0	rep1
Chr10	19720000	19770000	50.0	rep1
Chr10	19770000	19810000	40.0	rep1
Chr10	19810000	19920000	110.0	rep1
Chr10	19920000	20000000	80.0	rep1
Chr10	20000000	20100000	100.0	rep1
Chr10	20100000	20320000	220.0	rep1
Chr10	20320000	20590000	270.0	rep1
Chr10	20590000	20650000	60.0	rep1
Chr10	20650000	20710000	60.0	rep1
Chr10	20710000	20970000	260.0	rep1
Chr10	20970000	21040000	70.0	rep1
Chr10	21040000	21240000	200.0	rep1
Chr10	21240000	21410000	170.0	rep1
Chr10	21410000	21640000	230.0	rep1
Chr10	21640000	21770000	130.0	rep1
Chr10	21770000	21880000	110.0	rep1
Chr10	21880000	21950000	70.0	rep1
Chr10	21950000	22150000	200.0	rep1
Chr10	22150000	22260000	110.0	rep1
Chr10	22260000	22320000	60.0	rep1
Chr10	22320000	22440000	120.0	rep1
Chr10	22440000	22570000	130.0	rep1
Chr10	22570000	22610000	40.0	rep1
Chr10	22610000	23000000	390.0	rep1
Chr10	23000000	23120000	120.0	rep1
Chr10	23120000	23230000	110.0	rep1
Chr10	23230000	23350000	120.0	rep1
Chr10	23350000	23400000	50.0	rep1
Chr10	23400000	23460000	60.0	rep1
Chr10	23460000	23670000	210.0	rep1
Chr10	23670000	23730000	60.0	rep1
Chr10	23730000	24080000	350.0	rep1
Chr10	24080000	24170000	90.0	rep1
Chr10	24170000	24680000	510.0	rep1
Chr10	24680000	24740000	60.0	rep1
Chr10	24740000	24790000	50.0	rep1
Chr10	24790000	24900000	110.0	rep1
Chr10	24900000	24930000	30.0	rep1
Chr10	24930000	24990000	60.0	rep1
Chr10	24990000	25060000	70.0	rep1
Chr10	25060000	25260000	200.0	rep1
Chr10	25260000	25490000	230.0	rep1
Chr10	25490000	25590000	100.0	rep1
Chr10	25590000	25790000	200.0	rep1
Chr10	25790000	25850000	60.0	rep1
Chr10	25850000	26090000	240.0	rep1
Chr10	26090000	26450000	360.0	rep1
Chr10	26450000	26560000	110.0	rep1
Chr10	26560000	26730000	170.0	rep1
Chr10	26730000	27160000	430.0	rep1
Chr10	27160000	27210000	50.0	rep1
Chr10	27210000	27390000	180.0	rep1
Chr10	27390000	27560000	170.0	rep1
Chr10	27560000	27750000	190.0	rep1
Chr10	27750000	27840000	90.0	rep1
Chr10	27840000	27920000	80.0	rep1
Chr10	27920000	28230000	310.0	rep1
Chr10	28230000	28720000	490.0	rep1
Chr10	28720000	28830000	110.0	rep1
Chr10	28830000	29190000	360.0	rep1
Chr10	29190000	29240000	50.0	rep1
Chr10	29240000	29330000	90.0	rep1
Chr10	29330000	29600000	270.0	rep1
Chr10	29600000	29670000	70.0	rep1
Chr10	29670000	29810000	140.0	rep1
Chr10	29810000	30010000	200.0	rep1
Chr10	30010000	30370000	360.0	rep1
Chr10	30370000	30480000	110.0	rep1
Chr10	30480000	30540000	60.0	rep1
Chr10	30540000	30630000	90.0	rep1
Chr10	30630000	30940000	310.0	rep1
Chr10	30940000	31010000	70.0	rep1
Chr10	31010000	31330000	320.0	rep1
Chr10	31330000	31530000	200.0	rep1
Chr10	31530000	31680000	150.0	rep1
Chr10	31680000	31740000	60.0	rep1
Chr10	31740000	31950000	210.0	rep1
Chr03	310000	360000	50.0	rep1
Chr03	360000	470000	110.0	rep1
Chr03	470000	550000	80.0	rep1
Chr03	550000	690000	140.0	rep1
Chr03	690000	760000	70.0	rep1
Chr03	760000	810000	50.0	rep1
Chr03	810000	910000	100.0	rep1
Chr03	910000	1120000	210.0	rep1
Chr03	1120000	1380000	260.0	rep1
Chr03	1380000	1480000	100.0	rep1
Chr03	1480000	1660000	180.0	rep1
Chr03	1660000	1790000	130.0	rep1
Chr03	1790000	1830000	40.0	rep1
Chr03	1830000	1880000	50.0	rep1
Chr03	1880000	2060000	180.0	rep1
Chr03	2060000	2140000	80.0	rep1
Chr03	2140000	2320000	180.0	rep1
Chr03	2320000	2400000	80.0	rep1
Chr03	2400000	2560000	160.0	rep1
Chr03	2560000	2920000	360.0	rep1
Chr03	2920000	3060000	140.0	rep1
Chr03	3060000	3130000	70.0	rep1
Chr03	3130000	3190000	60.0	rep1
Chr03	3190000	3370000	180.0	rep1
Chr03	3370000	3440000	70.0	rep1
Chr03	3440000	3670000	230.0	rep1
Chr03	3670000	3710000	40.0	rep1
Chr03	3710000	3770000	60.0	rep1
Chr03	3770000	4010000	240.0	rep1
Chr03	4010000	4150000	140.0	rep1
Chr03	4150000	4230000	80.0	rep1
Chr03	4230000	4300000	70.0	rep1
Chr03	4300000	4620000	320.0	rep1
Chr03	4620000	4710000	90.0	rep1
Chr03	4710000	4780000	70.0	rep1
Chr03	4780000	4890000	110.0	rep1
Chr03	4890000	4930000	40.0	rep1
Chr03	4930000	5000000	70.0	rep1
Chr03	5000000	5050000	50.0	rep1
Chr03	5050000	5100000	50.0	rep1
Chr03	5100000	5370000	270.0	rep1
Chr03	5370000	5470000	100.0	rep1
Chr03	5470000	5520000	50.0	rep1
Chr03	5520000	5700000	180.0	rep1
Chr03	5700000	6370000	670.0	rep1
Chr03	6370000	6410000	40.0	rep1
Chr03	6410000	6490000	80.0	rep1
Chr03	6490000	6550000	60.0	rep1
Chr03	6550000	6680000	130.0	rep1
Chr03	6680000	6810000	130.0	rep1
Chr03	6810000	7070000	260.0	rep1
Chr03	7070000	7130000	60.0	rep1
Chr03	7130000	7200000	70.0	rep1
Chr03	7200000	7290000	90.0	rep1
Chr03	7290000	7390000	100.0	rep1
Chr03	7390000	7450000	60.0	rep1
Chr03	7450000	7520000	70.0	rep1
Chr03	7520000	7670000	150.0	rep1
Chr03	7670000	7780000	110.0	rep1
Chr03	7780000	7940000	160.0	rep1
Chr03	7940000	8000000	60.0	rep1
Chr03	8000000	8260000	260.0	rep1
Chr03	8260000	8490000	230.0	rep1
Chr03	8490000	8550000	60.0	rep1
Chr03	8550000	8700000	150.0	rep1
Chr03	8700000	9000000	300.0	rep1
Chr03	9000000	9160000	160.0	rep1
Chr03	9160000	9260000	100.0	rep1
Chr03	9260000	9530000	270.0	rep1
Chr03	9530000	9670000	140.0	rep1
Chr03	9670000	9800000	130.0	rep1
Chr03	9800000	9870000	70.0	rep1
Chr03	9870000	9920000	50.0	rep1
Chr03	9920000	10010000	90.0	rep1
Chr03	10010000	10230000	220.0	rep1
Chr03	10230000	10650000	420.0	rep1
Chr03	10650000	10710000	60.0	rep1
Chr03	10710000	10990000	280.0	rep1
Chr03	10990000	11110000	120.0	rep1
Chr03	11110000	11150000	40.0	rep1
Chr03	11150000	11280000	130.0	rep1
Chr03	11280000	11450000	170.0	rep1
Chr03	11450000	11580000	130.0	rep1
Chr03	11580000	11650000	70.0	rep1
Chr03	11650000	11840000	190.0	rep1
Chr03	11840000	11930000	90.0	rep1
Chr03	11930000	12170000	240.0	rep1
Chr03	12170000	12310000	140.0	rep1
Chr03	12310000	12640000	330.0	rep1
Chr03	12640000	12760000	120.0	rep1
Chr03	12760000	12830000	70.0	rep1
Chr03	12830000	12960000	130.0	rep1
Chr03	12960000	13100000	140.0	rep1
Chr03	13100000	13200000	100.0	rep1
Chr03	13200000	13330000	130.0	rep1
Chr03	13330000	13620000	290.0	rep1
Chr03	13620000	13700000	80.0	rep1
Chr03	13700000	13760000	60.0	rep1
Chr03	13760000	14000000	240.0	rep1
Chr03	14000000	14220000	220.0	rep1
Chr03	14220000	14300000	80.0	rep1
Chr03	14300000	14330000	30.0	rep1
Chr03	14330000	14820000	490.0	rep1
Chr03	14820000	14940000	120.0	rep1
Chr03	14940000	15030000	90.0	rep1
Chr03	15030000	15380000	350.0	rep1
Chr03	15380000	16510000	1130.0	rep1
Chr03	16510000	16630000	120.0	rep1
Chr03	16630000	16740000	110.0	rep1
Chr03	16740000	17110000	370.0	rep1
Chr03	17110000	17180000	70.0	rep1
Chr03	17180000	17290000	110.0	rep1
Chr03	17290000	17370000	80.0	rep1
Chr03	17370000	17480000	110.0	rep1
Chr03	17480000	17600000	120.0	rep1
Chr03	17600000	17680000	80.0	rep1
Chr03	17680000	17940000	260.0	rep1
Chr03	17940000	18300000	360.0	rep1
Chr03	18300000	18510000	210.0	rep1
Chr03	18510000	18580000	70.0	rep1
Chr03	18580000	18620000	40.0	rep1
Chr03	18620000	18710000	90.0	rep1
Chr03	18710000	18780000	70.0	rep1
Chr03	18780000	18960000	180.0	rep1
Chr03	18960000	19070000	110.0	rep1
Chr03	19070000	19110000	40.0	rep1
Chr03	19110000	19200000	90.0	rep1
Chr03	19200000	19240000	40.0	rep1
Chr03	19240000	19360000	120.0	rep1
Chr03	19360000	19620000	260.0	rep1
Chr03	19620000	19810000	190.0	rep1
Chr03	19810000	19960000	150.0	rep1
Chr03	19960000	20040000	80.0	rep1
Chr03	20040000	20130000	90.0	rep1
Chr03	20130000	20380000	250.0	rep1
Chr03	20380000	20630000	250.0	rep1
Chr03	20630000	20760000	130.0	rep1
Chr03	20760000	20880000	120.0	rep1
Chr03	20880000	20980000	100.0	rep1
Chr03	20980000	21230000	250.0	rep1
Chr03	21230000	21300000	70.0	rep1
Chr03	21300000	21370000	70.0	rep1
Chr03	21370000	21420000	50.0	rep1
Chr03	21420000	21480000	60.0	rep1
Chr03	21480000	21600000	120.0	rep1
Chr03	21600000	21650000	50.0	rep1
Chr03	21650000	21900000	250.0	rep1
Chr03	21900000	22030000	130.0	rep1
Chr03	22030000	22270000	240.0	rep1
Chr03	22270000	22690000	420.0	rep1
Chr03	22690000	22790000	100.0	rep1
Chr03	22790000	22870000	80.0	rep1
Chr03	22870000	22940000	70.0	rep1
Chr03	22940000	23220000	280.0	rep1
Chr03	23220000	23300000	80.0	rep1
Chr03	23300000	23440000	140.0	rep1
Chr03	23440000	23630000	190.0	rep1
Chr03	23630000	23770000	140.0	rep1
Chr03	23770000	23840000	70.0	rep1
Chr03	23840000	23940000	100.0	rep1
Chr03	23940000	24180000	240.0	rep1
Chr03	24180000	24240000	60.0	rep1
Chr03	24240000	24290000	50.0	rep1
Chr03	24290000	24440000	150.0	rep1
Chr03	24440000	24560000	120.0	rep1
Chr03	24560000	24610000	50.0	rep1
Chr03	24610000	24890000	280.0	rep1
Chr03	24890000	25070000	180.0	rep1
Chr03	25070000	25280000	210.0	rep1
Chr03	25280000	25460000	180.0	rep1
Chr03	25460000	25520000	60.0	rep1
Chr03	25520000	25690000	170.0	rep1
Chr03	25690000	25910000	220.0	rep1
Chr03	25910000	26010000	100.0	rep1
Chr03	26010000	26270000	260.0	rep1
Chr03	26270000	26310000	40.0	rep1
Chr03	26310000	26720000	410.0	rep1
Chr03	26720000	26910000	190.0	rep1
Chr03	26910000	26960000	50.0	rep1
Chr03	26960000	27070000	110.0	rep1
Chr03	27070000	27300000	230.0	rep1
Chr03	27300000	27450000	150.0	rep1
Chr03	27450000	27570000	120.0	rep1
Chr03	27570000	27650000	80.0	rep1
Chr03	27650000	27940000	290.0	rep1
Chr03	27940000	28010000	70.0	rep1
Chr03	28010000	28080000	70.0	rep1
Chr03	28080000	28130000	50.0	rep1
Chr03	28130000	28340000	210.0	rep1
Chr03	28340000	28440000	100.0	rep1
Chr08	210000	290000	80.0	rep1
Chr08	290000	420000	130.0	rep1
Chr08	420000	480000	60.0	rep1
Chr08	480000	710000	230.0	rep1
Chr08	710000	1050000	340.0	rep1
Chr08	1050000	1180000	130.0	rep1
Chr08	1180000	1280000	100.0	rep1
Chr08	1280000	1680000	400.0	rep1
Chr08	1680000	1800000	120.0	rep1
Chr08	1800000	1870000	70.0	rep1
Chr08	1870000	1950000	80.0	rep1
Chr08	1950000	2050000	100.0	rep1
Chr08	2050000	2130000	80.0	rep1
Chr08	2130000	2330000	200.0	rep1
Chr08	2330000	2440000	110.0	rep1
Chr08	2440000	2510000	70.0	rep1
Chr08	2510000	2700000	190.0	rep1
Chr08	2700000	2750000	50.0	rep1
Chr08	2750000	2830000	80.0	rep1
Chr08	2830000	2890000	60.0	rep1
Chr08	2890000	3010000	120.0	rep1
Chr08	3010000	3170000	160.0	rep1
Chr08	3170000	3220000	50.0	rep1
Chr08	3220000	3320000	100.0	rep1
Chr08	3320000	3710000	390.0	rep1
Chr08	3710000	3780000	70.0	rep1
Chr08	3780000	4050000	270.0	rep1
Chr08	4050000	4140000	90.0	rep1
Chr08	4140000	4260000	120.0	rep1
Chr08	4260000	4380000	120.0	rep1
Chr08	4380000	4580000	200.0	rep1
Chr08	4580000	4930000	350.0	rep1
Chr08	4930000	5010000	80.0	rep1
Chr08	5010000	5060000	50.0	rep1
Chr08	5060000	5120000	60.0	rep1
Chr08	5120000	5200000	80.0	rep1
Chr08	5200000	5250000	50.0	rep1
Chr08	5250000	5340000	90.0	rep1
Chr08	5340000	5470000	130.0	rep1
Chr08	5470000	5560000	90.0	rep1
Chr08	5560000	5690000	130.0	rep1
Chr08	5690000	5810000	120.0	rep1
Chr08	5810000	6100000	290.0	rep1
Chr08	6100000	6280000	180.0	rep1
Chr08	6280000	6330000	50.0	rep1
Chr08	6330000	6420000	90.0	rep1
Chr08	6420000	6600000	180.0	rep1
Chr08	6600000	6710000	110.0	rep1
Chr08	6710000	6920000	210.0	rep1
Chr08	6920000	7000000	80.0	rep1
Chr08	7000000	7140000	140.0	rep1
Chr08	7140000	7200000	60.0	rep1
Chr08	7200000	7550000	350.0	rep1
Chr08	7550000	7650000	100.0	rep1
Chr08	7650000	7990000	340.0	rep1
Chr08	7990000	8130000	140.0	rep1
Chr08	8130000	8230000	100.0	rep1
Chr08	8230000	8490000	260.0	rep1
Chr08	8490000	8710000	220.0	rep1
Chr08	8710000	8820000	110.0	rep1
Chr08	8820000	8940000	120.0	rep1
Chr08	8940000	9120000	180.0	rep1
Chr08	9120000	9210000	90.0	rep1
Chr08	9210000	9310000	100.0	rep1
Chr08	9310000	9370000	60.0	rep1
Chr08	9370000	9460000	90.0	rep1
Chr08	9460000	9520000	60.0	rep1
Chr08	9520000	9620000	100.0	rep1
Chr08	9620000	9740000	120.0	rep1
Chr08	9740000	9850000	110.0	rep1
Chr08	9850000	9950000	100.0	rep1
Chr08	9950000	10140000	190.0	rep1
Chr08	10140000	10210000	70.0	rep1
Chr08	10210000	10460000	250.0	rep1
Chr08	10460000	10700000	240.0	rep1
Chr08	10700000	10780000	80.0	rep1
Chr08	10780000	10830000	50.0	rep1
Chr08	10830000	10970000	140.0	rep1
Chr08	10970000	11170000	200.0	rep1
Chr08	11170000	11270000	100.0	rep1
Chr08	11270000	11470000	200.0	rep1
Chr08	11470000	11730000	260.0	rep1
Chr08	11730000	11960000	230.0	rep1
Chr08	11960000	12030000	70.0	rep1
Chr08	12030000	12140000	110.0	rep1
Chr08	12140000	12210000	70.0	rep1
Chr08	12210000	12320000	110.0	rep1
Chr08	12320000	12400000	80.0	rep1
Chr08	12400000	15580000	3180.0	rep1
Chr08	15580000	15670000	90.0	rep1
Chr08	15670000	15780000	110.0	rep1
Chr08	15780000	15900000	120.0	rep1
Chr08	15900000	16020000	120.0	rep1
Chr08	16020000	16140000	120.0	rep1
Chr08	16140000	16390000	250.0	rep1
Chr08	16390000	16860000	470.0	rep1
Chr08	16860000	16900000	40.0	rep1
Chr08	16900000	17070000	170.0	rep1
Chr08	17070000	17100000	30.0	rep1
Chr08	17100000	17150000	50.0	rep1
Chr08	17150000	17230000	80.0	rep1
Chr08	17230000	17290000	60.0	rep1
Chr08	17290000	17410000	120.0	rep1
Chr08	17410000	17660000	250.0	rep1
Chr08	17660000	17770000	110.0	rep1
Chr08	17770000	17870000	100.0	rep1
Chr08	17870000	18060000	190.0	rep1
Chr08	18060000	18160000	100.0	rep1
Chr08	18160000	18290000	130.0	rep1
Chr08	18290000	18410000	120.0	rep1
Chr08	18410000	18450000	40.0	rep1
Chr08	18450000	18670000	220.0	rep1
Chr08	18670000	18820000	150.0	rep1
Chr08	18820000	18880000	60.0	rep1
Chr08	18880000	18930000	50.0	rep1
Chr08	18930000	19150000	220.0	rep1
Chr08	19150000	19420000	270.0	rep1
Chr08	19420000	19460000	40.0	rep1
Chr08	19460000	19540000	80.0	rep1
Chr08	19540000	19600000	60.0	rep1
Chr08	19600000	19780000	180.0	rep1
Chr08	19780000	19870000	90.0	rep1
Chr08	19870000	19940000	70.0	rep1
Chr08	19940000	20040000	100.0	rep1
Chr08	20040000	20090000	50.0	rep1
Chr08	20090000	20160000	70.0	rep1
Chr08	20160000	20470000	310.0	rep1
Chr08	20470000	20570000	100.0	rep1
Chr08	20570000	20700000	130.0	rep1
Chr08	20700000	20920000	220.0	rep1
Chr08	20920000	20960000	40.0	rep1
Chr08	20960000	21170000	210.0	rep1
Chr08	21170000	21230000	60.0	rep1
Chr08	21230000	21440000	210.0	rep1
Chr08	21440000	21520000	80.0	rep1
Chr08	21520000	21680000	160.0	rep1
Chr08	21680000	21790000	110.0	rep1
Chr08	21790000	22320000	530.0	rep1
Chr08	22320000	22700000	380.0	rep1
Chr08	22700000	22840000	140.0	rep1
Chr08	22840000	22970000	130.0	rep1
Chr08	22970000	23120000	150.0	rep1
Chr08	23120000	23200000	80.0	rep1
Chr08	23200000	23520000	320.0	rep1
Chr08	23520000	23590000	70.0	rep1
Chr08	23590000	23900000	310.0	rep1
Chr08	23900000	23960000	60.0	rep1
Chr08	23960000	24370000	410.0	rep1
Chr04	100000	160000	60.0	rep1
Chr04	160000	250000	90.0	rep1
Chr04	250000	340000	90.0	rep1
Chr04	340000	520000	180.0	rep1
Chr04	520000	580000	60.0	rep1
Chr04	580000	710000	130.0	rep1
Chr04	710000	760000	50.0	rep1
Chr04	760000	890000	130.0	rep1
Chr04	890000	990000	100.0	rep1
Chr04	990000	1100000	110.0	rep1
Chr04	1100000	1170000	70.0	rep1
Chr04	1170000	1260000	90.0	rep1
Chr04	1260000	1560000	300.0	rep1
Chr04	1560000	1970000	410.0	rep1
Chr04	1970000	2080000	110.0	rep1
Chr04	2080000	2330000	250.0	rep1
Chr04	2330000	2540000	210.0	rep1
Chr04	2540000	2590000	50.0	rep1
Chr04	2590000	2650000	60.0	rep1
Chr04	2650000	2740000	90.0	rep1
Chr04	2740000	2840000	100.0	rep1
Chr04	2840000	2900000	60.0	rep1
Chr04	2900000	3400000	500.0	rep1
Chr04	3400000	3500000	100.0	rep1
Chr04	3500000	3590000	90.0	rep1
Chr04	3590000	3660000	70.0	rep1
Chr04	3660000	3940000	280.0	rep1
Chr04	3940000	4030000	90.0	rep1
Chr04	4030000	4090000	60.0	rep1
Chr04	4090000	4190000	100.0	rep1
Chr04	4190000	4250000	60.0	rep1
Chr04	4250000	4340000	90.0	rep1
Chr04	4340000	4410000	70.0	rep1
Chr04	4410000	4480000	70.0	rep1
Chr04	4480000	4590000	110.0	rep1
Chr04	4590000	4910000	320.0	rep1
Chr04	4910000	5040000	130.0	rep1
Chr04	5040000	5160000	120.0	rep1
Chr04	5160000	5410000	250.0	rep1
Chr04	5410000	5490000	80.0	rep1
Chr04	5490000	5880000	390.0	rep1
Chr04	5880000	5940000	60.0	rep1
Chr04	5940000	5970000	30.0	rep1
Chr04	5970000	6120000	150.0	rep1
Chr04	6120000	6180000	60.0	rep1
Chr04	6180000	6270000	90.0	rep1
Chr04	6270000	6330000	60.0	rep1
Chr04	6330000	6480000	150.0	rep1
Chr04	6480000	6590000	110.0	rep1
Chr04	6590000	6630000	40.0	rep1
Chr04	6630000	6690000	60.0	rep1
Chr04	6690000	7110000	420.0	rep1
Chr04	7110000	7260000	150.0	rep1
Chr04	7260000	7330000	70.0	rep1
Chr04	7330000	7390000	60.0	rep1
Chr04	7390000	7440000	50.0	rep1
Chr04	7440000	7530000	90.0	rep1
Chr04	7530000	7700000	170.0	rep1
Chr04	7700000	7910000	210.0	rep1
Chr04	7910000	8010000	100.0	rep1
Chr04	8010000	8370000	360.0	rep1
Chr04	8370000	8480000	110.0	rep1
Chr04	8480000	8590000	110.0	rep1
Chr04	8590000	8790000	200.0	rep1
Chr04	8790000	8900000	110.0	rep1
Chr04	8900000	8950000	50.0	rep1
Chr04	8950000	9290000	340.0	rep1
Chr04	9290000	10020000	730.0	rep1
Chr04	10020000	10200000	180.0	rep1
Chr04	10200000	10440000	240.0	rep1
Chr04	10440000	10510000	70.0	rep1
Chr04	10510000	11100000	590.0	rep1
Chr04	11100000	11590000	490.0	rep1
Chr04	11590000	11690000	100.0	rep1
Chr04	11690000	11880000	190.0	rep1
Chr04	11880000	11960000	80.0	rep1
Chr04	11960000	12020000	60.0	rep1
Chr04	12020000	12220000	200.0	rep1
Chr04	12220000	12490000	270.0	rep1
Chr04	12490000	12600000	110.0	rep1
Chr04	12600000	12660000	60.0	rep1
Chr04	12660000	12830000	170.0	rep1
Chr04	12830000	12910000	80.0	rep1
Chr04	12910000	12970000	60.0	rep1
Chr04	12970000	13230000	260.0	rep1
Chr04	13230000	13280000	50.0	rep1
Chr04	13280000	13360000	80.0	rep1
Chr04	13360000	13500000	140.0	rep1
Chr04	13500000	13600000	100.0	rep1
Chr04	13600000	13660000	60.0	rep1
Chr04	13660000	13760000	100.0	rep1
Chr04	13760000	13880000	120.0	rep1
Chr04	13880000	14000000	120.0	rep1
Chr04	14000000	14110000	110.0	rep1
Chr04	14110000	14220000	110.0	rep1
Chr04	14220000	14290000	70.0	rep1
Chr04	14290000	14350000	60.0	rep1
Chr04	14350000	14450000	100.0	rep1
Chr04	14450000	14550000	100.0	rep1
Chr04	14550000	14640000	90.0	rep1
Chr04	14640000	14760000	120.0	rep1
Chr04	14760000	14840000	80.0	rep1
Chr04	14840000	14950000	110.0	rep1
Chr04	14950000	15050000	100.0	rep1
Chr04	15050000	15160000	110.0	rep1
Chr04	15160000	15250000	90.0	rep1
Chr04	15250000	15290000	40.0	rep1
Chr04	15290000	15420000	130.0	rep1
Chr04	15420000	15450000	30.0	rep1
Chr04	15450000	15610000	160.0	rep1
Chr04	15610000	15730000	120.0	rep1
Chr04	15730000	15860000	130.0	rep1
Chr04	15860000	15900000	40.0	rep1
Chr04	15900000	16090000	190.0	rep1
Chr04	16090000	16140000	50.0	rep1
Chr04	16140000	16200000	60.0	rep1
Chr04	16200000	16380000	180.0	rep1
Chr04	16380000	16540000	160.0	rep1
Chr04	16540000	16700000	160.0	rep1
Chr04	16700000	16760000	60.0	rep1
Chr04	16760000	16840000	80.0	rep1
Chr04	16840000	16930000	90.0	rep1
Chr04	16930000	17000000	70.0	rep1
Chr04	17000000	17170000	170.0	rep1
