duplication_type	parent	child	ancestor	TPC_Ks	TPCA_Ks	tPC_ratio	CLOUD_class	prob_Conservation	prob_Neofunctionalization_Parent	prob_Neofunctionalization_Child	prob_Subfunctionalization	prob_Specialization	assigned_class_probability	class_label
TD	Pbre1_01G310800	Pbre1_01G311000	Prupe.2G265800.1	0.223515	0.335679	0.6658593477697443	Neofunctionalization(Child)	2.7186288427183985e-07	7.193415984702468e-14	0.9998302494762844	4.4610991773129965e-05	0.0001248676689862	0.9998302494762844	Neo(C)
TD	Pbre1_01G336400	Pbre1_01G336600	Prupe.2G279700.1	0.13411	1.12687	0.1190110660502098	Conservation	0.6796840014066274	9.28143206502394e-07	0.3176153372118714	0.0020508735179556	0.0006488597203389	0.6796840014066274	Con
TD	Pbre1_01G342200	Pbre1_01G342400	Prupe.2G283100.1	0.0611801	0.256678	0.2383535012739697	Conservation	0.975523356490488	1.8585679399914104e-07	0.0244737347831754	2.699841725470405e-06	2.3027817037351596e-08	0.975523356490488	Con
TD	Pbre1_01G345000	Pbre1_01G345200	Prupe.2G285300.1	0.108689	0.616656	0.1762554811758906	Conservation	0.8008110191495392	0.0667742211509444	0.1114274898544253	0.0054787091694982	0.0155085606755926	0.8008110191495392	Con
TD	Pbre1_01G350400	Pbre1_01G350600	Prupe.2G287500.1	0.093708	0.351698	0.2664445063662574	Conservation	0.9770646979941868	1.5728049443588575e-06	0.0030357166738559	0.0198978789615837	1.3356542921260073e-07	0.9770646979941868	Con
TD	Pbre1_01G364800	Pbre1_01G365000	Prupe.2G294100.1	0.12312	0.509278	0.2417540125432475	Conservation	0.9755287256833604	0.0244582476767787	3.5645149489732853e-09	1.2691049792927517e-05	3.320255527164884e-07	0.9755287256833604	Con
TD	Pbre1_01G379000	Pbre1_01G379200	Prupe.2G301600.1	0.200168	0.312231	0.6410894497983866	Neofunctionalization(Child)	1.4823784000063385e-07	4.0043558089142215e-16	0.999873370121565	1.3725938317059696e-05	0.0001127557022778	0.999873370121565	Neo(C)
TD	Pbre1_01G380200	Pbre1_01G380400	Prupe.2G301900.1	0.51435	0.750284	0.6855404086985728	Conservation	0.4891752471652233	0.0003798573903892	0.4227165299665611	0.0225948472798745	0.0651335181979516	0.4891752471652233	Con
TD	Pbre1_01G386400	Pbre1_01G386600	Prupe.2G304800.1	0.110075	1.0293	0.1069416108034586	Neofunctionalization(Child)	0.0003650809603503	3.9998315149441406e-09	0.9979429696510256	0.0016918896702791	5.571851374554768e-08	0.9979429696510256	Neo(C)
TD	Pbre1_01G409600	Pbre1_01G409800	Prupe.2G316300.1	0.181301	0.35767	0.5068946235356614	Subfunctionalization	0.0012305702202584	5.624747533665848e-06	2.458574512753925e-05	0.9987383982301412	8.210569389722372e-07	0.9987383982301412	Sub
TD	Pbre1_01G415000	Pbre1_01G415200	Prupe.2G319700.1	0.294484	0.899171	0.3275061139649744	Conservation	0.9964604770982308	3.456393682881068e-05	0.0033944509938874	8.922378145996421e-05	2.1284189593161e-05	0.9964604770982308	Con
TD	Pbre1_01G415600	Pbre1_01G415800	Prupe.2G319900.1	0.289342	0.245847	1.1769189780635922	Subfunctionalization	0.1945615916794763	0.2154470114869742	0.002016974388157	0.4192053029842559	0.1687691194611366	0.4192053029842559	Sub
TD	Pbre1_01G418000	Pbre1_01G418200	Prupe.2G321300.1	0.0808899	1.18973	0.0679901322148722	Neofunctionalization(Child)	0.0050839395951606	0.0007724422686278	0.9941280194030973	6.994027122084082e-06	8.604705992312353e-06	0.9941280194030973	Neo(C)
TD	Pbre1_01G423000	Pbre1_01G423200	Prupe.2G323600.1	0.190114	0.455742	0.4171526872660409	Neofunctionalization(Parent)	8.652835853530675e-05	0.9987477391026216	0.0003617073299213	0.0008000587519391	3.966456982595205e-06	0.9987477391026216	Neo(P)
TD	Pbre1_01G425600	Pbre1_01G425800	Prupe.2G325000.1	0.527392	1.10697	0.4764284488287849	Subfunctionalization	0.2598983592962845	0.0013249037235703	0.2172016677246481	0.5206682463050734	0.0009068229504236	0.5206682463050734	Sub
TD	Pbre1_01G426000	Pbre1_01G426200	Prupe.2G325200.1	0.184742	0.499011	0.3702162878173026	Neofunctionalization(Parent)	0.0157809826181115	0.9417371162151094	9.134569047155244e-05	0.040246359399942	0.0021441960763654	0.9417371162151094	Neo(P)
TD	Pbre1_02G022800	Pbre1_02G023000	Prupe.7G260600.1	0.350167	0.497847	0.703362679698783	Subfunctionalization	9.57385250226863e-08	0.0067219492857208	0.0463008005369672	0.666055594216546	0.280921560222241	0.666055594216546	Sub
TD	Pbre1_02G044200	Pbre1_02G044400	Prupe.7G250300.1	0.206467	0.388961	0.530816714272125	Subfunctionalization	9.380090677112324e-17	5.361025299775644e-06	5.2422440459256757e-08	0.9893676652016256	0.010626921350634	0.9893676652016256	Sub
TD	Pbre1_02G047200	Pbre1_02G047400	Prupe.7G249000.1	0.403457	0.305805	1.3193276761334838	Neofunctionalization(Child)	0.0055842456348708	3.852788040357865e-06	0.8710695874877757	0.1221302569761099	0.0012120571132031	0.8710695874877757	Neo(C)
TD	Pbre1_02G054600	Pbre1_02G054800	Prupe.7G245600.1	0.477712	0.348541	1.3706048929681158	Subfunctionalization	0.2716650506814443	0.0386087654260867	0.0022723402018065	0.5746111233897611	0.1128427203009012	0.5746111233897611	Sub
TD	Pbre1_02G067000	Pbre1_02G067200	Prupe.7G239200.1	0.274297	0.163953	1.6730221465907915	Neofunctionalization(Parent)	0.1331007545683578	0.8543365287629274	1.0257399518725318e-06	0.0124850932321943	7.659769656857272e-05	0.8543365287629274	Neo(P)
TD	Pbre1_02G078800	Pbre1_02G079000	Prupe.7G233700.1	0.0727108	0.313571	0.2318798613392182	Subfunctionalization	0.0039530849269948	0.0022719750976361	0.0075405613357613	0.986234378638416	1.1914369597715788e-12	0.986234378638416	Sub
TD	Pbre1_02G084800	Pbre1_02G085000	Prupe.7G230700.1	0.718954	0.352642	2.03876452606326	Neofunctionalization(Child)	4.059524755030695e-06	1.1600860289332491e-12	0.9999897951188206	3.110295435172952e-06	3.03505982925452e-06	0.9999897951188206	Neo(C)
TD	Pbre1_02G087800	Pbre1_02G088000	Prupe.7G229100.1	0.168144	0.42877	0.3921543018401474	Specialization	9.647629753920534e-21	5.879453576430277e-30	0.2228128096759072	0.0012625347236125	0.7759246556004803	0.7759246556004803	Spe
TD	Pbre1_02G096600	Pbre1_02G096800	Prupe.7G224300.1	0.565178	0.564186	1.001758285388152	Specialization	0.0071883452231933	0.2883518623221848	3.843827757160168e-05	0.0002932336854836	0.7041281204915665	0.7041281204915665	Spe
TD	Pbre1_02G122200	Pbre1_02G122400	Prupe.7G211000.1	0.783738	0.936494	0.8368852336480532	Subfunctionalization	0.3771680672974726	0.0121295794196208	0.116708483858099	0.4939938407756324	2.8649174930416313e-08	0.4939938407756324	Sub
TD	Pbre1_02G126600	Pbre1_02G126800	Prupe.7G208200.1	0.383763	0.345211	1.111676626758707	Subfunctionalization	0.0093596594658953	0.4127468722386429	0.0016346099572994	0.5760163628968029	0.0002424954413591	0.5760163628968029	Sub
TD	Pbre1_02G131000	Pbre1_02G131200	Prupe.7G205500.1	0.229843	0.772773	0.297426281715329	Subfunctionalization	0.0005912794686798	4.0535425458965846e-05	9.210341560047977e-05	0.9992758586168194	2.2307344138765385e-07	0.9992758586168194	Sub
TD	Pbre1_02G148000	Pbre1_02G148200	Prupe.7G195700.1	0.211506	0.608044	0.3478465374216339	Subfunctionalization	4.565150339727861e-16	8.42120531329789e-16	4.475671525534369e-22	0.9999999999999988	1.6427895453102663e-26	0.9999999999999988	Sub
TD	Pbre1_02G155200	Pbre1_02G155400	Prupe.7G192300.1	0.0971282	0.722461	0.1344407518191293	Subfunctionalization	0.0523270319215768	0.0022369985442383	0.000654828595974	0.9447739956519215	7.1452862890535695e-06	0.9447739956519215	Sub
TD	Pbre1_02G157800	Pbre1_02G158000	Prupe.7G191400.1	1.54657	0.793514	1.9490141320758043	Subfunctionalization	0.0770982240476907	0.0001125906209579	1.4783517624883915e-07	0.9227890047723252	3.272385004846876e-08	0.9227890047723252	Sub
TD	Pbre1_02G162400	Pbre1_02G162600	Prupe.7G188800.1	0.639902	0.788407	0.811639166065243	Subfunctionalization	0.0314465043159659	2.320768538185357e-05	6.567023743755849e-05	0.968464594510731	2.3250483646519577e-08	0.968464594510731	Sub
TD	Pbre1_02G178800	Pbre1_02G179000	Prupe.7G178500.1	0.385006	0.737436	0.5220873404607316	Subfunctionalization	0.2475692070162546	0.0008521903741083	5.0715337329637935e-06	0.7515735310591769	1.6727129273273078e-11	0.7515735310591769	Sub
TD	Pbre1_02G190800	Pbre1_02G191000	Prupe.7G172300.1	0.351099	0.522329	0.6721797947270781	Conservation	0.8712485457114697	0.0018816210205658	0.0313885975291024	0.0027350323589099	0.0927462033799521	0.8712485457114697	Con
TD	Pbre1_02G194200	Pbre1_02G194400	Prupe.7G170500.1	0.440715	0.318415	1.384089945511361	Conservation	0.9233352696571024	0.0034868286182765	0.0192889091716278	9.77979743696934e-09	0.0538889827731959	0.9233352696571024	Con
TD	Pbre1_02G213600	Pbre1_02G213800	Prupe.7G161200.1	0.280096	0.748707	0.3741062925817442	Conservation	0.7915920376818902	0.0593742704792588	0.0156371681609505	0.1333770439311301	1.9479746770082452e-05	0.7915920376818902	Con
TD	Pbre1_02G223800	Pbre1_02G224000	Prupe.7G155900.1	0.239501	0.759782	0.3152233140558739	Subfunctionalization	0.0139288489031371	0.0008926836435302	0.0001915631215694	0.8855640437829024	0.0994228605488607	0.8855640437829024	Sub
TD	Pbre1_02G237200	Pbre1_02G237400	Prupe.7G148800.1	0.462535	0.420875	1.0989842589842589	Subfunctionalization	1.8770429945360457e-05	2.1466582004668306e-07	6.206208680850021e-06	0.9999199068524643	5.4901843089318257e-05	0.9999199068524643	Sub
TD	Pbre1_02G288200	Pbre1_02G288400	Prupe.6G220400.1	0.242646	0.270363	0.8974822738318482	Subfunctionalization	0.0033344500359007	0.0005149594201132	0.0007070338382544	0.849837188290484	0.1456063684152476	0.849837188290484	Sub
TD	Pbre1_02G311800	Pbre1_02G312000	Prupe.2G149200.1	0.0424068	0.349429	0.1213602763365376	Subfunctionalization	0.0006824910244275	2.3818421971578757e-05	0.0004701550850281	0.9988138450207128	9.6904478597814e-06	0.9988138450207128	Sub
TD	Pbre1_02G321600	Pbre1_02G321800	Prupe.2G143700.1	0.548981	1.18605	0.4628649719657687	Subfunctionalization	0.3005357676982061	0.0034465072116185	0.3283908586553168	0.3350578981778386	0.0325689682570198	0.3350578981778386	Sub
TD	Pbre1_02G348000	Pbre1_02G348200	Prupe.2G125900.1	2.09583	1.35108	1.5512256861177722	Subfunctionalization	0.2578482787312091	1.6795587776407798e-05	0.0004840998934618	0.7416508257644661	2.3086652527364667e-11	0.7416508257644661	Sub
TD	Pbre1_02G373800	Pbre1_02G374000	Prupe.2G106200.1	0.0799376	0.395779	0.2019753448262793	Neofunctionalization(Child)	0.4135706795682145	0.0002326736053467	0.5859118925276088	9.409708242411136e-05	0.0001906572164058	0.5859118925276088	Neo(C)
TD	Pbre1_02G381800	Pbre1_02G382000	Prupe.2G101300.1	0.18174	0.425991	0.426628731592921	Subfunctionalization	0.0002541392634174	1.2834553909624957e-07	5.539911851617681e-08	0.999744759734438	9.172574867291084e-07	0.999744759734438	Sub
TD	Pbre1_02G383000	Pbre1_02G383200	Prupe.2G099900.1	0.775717	0.735216	1.0550872124654525	Conservation	0.6388080878044755	0.0015577549894445	0.35923605616525	0.0003519419803386	4.615906049136863e-05	0.6388080878044755	Con
TD	Pbre1_02G385600	Pbre1_02G385800	Prupe.2G097200.1	0.359018	0.598583	0.5997798133258044	Conservation	0.4531195343524978	0.0001089265890295	0.2619320012743396	0.2418537903119103	0.0429857474722226	0.4531195343524978	Con
TD	Pbre1_02G424600	Pbre1_02G424800	Prupe.2G058400.1	0.375844	0.348314	1.079037879614371	Neofunctionalization(Child)	1.0330038485599947e-13	6.043190081657459e-19	0.999992225709114	2.8074171490739003e-11	7.774262708514894e-06	0.999992225709114	Neo(C)
TD	Pbre1_02G426600	Pbre1_02G426800	Prupe.2G056300.1	0.114988	0.354421	0.3244390146182083	Conservation	0.7153533205793356	0.256925809584088	0.0061922259533542	5.275312434240032e-06	0.0215233685707878	0.7153533205793356	Con
TD	Pbre1_02G443200	Pbre1_02G443400	Prupe.2G043200.1	0.0584217	0.694512	0.0841190648973667	Neofunctionalization(Child)	0.1746527997854601	0.043059168810918	0.6377864646765031	0.1445015667271016	1.7063922275475513e-14	0.6377864646765031	Neo(C)
TD	Pbre1_02G471600	Pbre1_02G471400	Prupe.2G028300.1	0.378938	0.36077	1.0503589544585192	Subfunctionalization	2.342503672345685e-07	1.264403690822779e-07	5.92433743294827e-11	0.9999996392498034	2.169718504091348e-13	0.9999996392498034	Sub
TD	Pbre1_02G477400	Pbre1_02G477600	Prupe.2G024200.1	0.13629	0.660032	0.2064899883642005	Subfunctionalization	9.99251995479992e-08	2.2909029659306289e-07	1.0433388813319651e-10	0.9999996708795996	5.70295140938626e-13	0.9999996708795996	Sub
TD	Pbre1_02G507400	Pbre1_02G507600	Prupe.2G005300.1	0.67403	0.735849	0.9159895576402224	Conservation	0.9985179236088496	0.0005709804334796	0.000794309174982	7.208755165321205e-05	4.469923103517376e-05	0.9985179236088496	Con
TD	Pbre1_03G004400	Pbre1_03G004600	Prupe.6G002200.1	1.42164	1.64001	0.8668483728757752	Conservation	0.9183436064042042	0.0048221213772445	0.0001953710761264	0.0746379054085255	0.0020009957338994	0.9183436064042042	Con
TD	Pbre1_03G008600	Pbre1_03G008800	Prupe.6G004500.1	0.412975	0.399783	1.0329979013614885	Conservation	0.9621718636073768	0.0229937346240371	0.0109281979606878	0.0038825871190495	2.3616688848632807e-05	0.9621718636073768	Con
TD	Pbre1_03G012400	Pbre1_03G012600	Prupe.6G006000.1	0.415304	0.680381	0.6103991734043132	Conservation	0.7935214158325148	0.0552914182131821	4.459555376184817e-05	0.1511425664933425	3.90719879403628e-09	0.7935214158325148	Con
TD	Pbre1_03G016400	Pbre1_03G016600	Prupe.6G010100.1	0.0125133	0.297208	0.0421028370703345	Conservation	0.6519241067667687	0.0126117115299226	0.1730462644910532	0.1623897150920102	2.820212024520759e-05	0.6519241067667687	Con
TD	Pbre1_03G017000	Pbre1_03G017200	Prupe.6G010200.1	0.103115	0.223922	0.4604951724261126	Conservation	0.7713882775936423	0.0359639973211777	0.0102252932176683	6.120013493846261e-05	0.1823612317325733	0.7713882775936423	Con
TD	Pbre1_03G017400	Pbre1_03G017600	Prupe.6G010300.1	0.847948	0.532769	1.591586597568552	Specialization	0.0313520888592522	0.0002494435351698	0.0008885893963526	0.0026271979220449	0.9648826802871802	0.9648826802871802	Spe
TD	Pbre1_03G025600	Pbre1_03G025800	Prupe.6G015500.1	0.0924656	0.498033	0.1856615927057042	Subfunctionalization	0.0317621252303872	0.0017769588646412	0.0026049782821082	0.9636115971283528	0.0002443404945104	0.9636115971283528	Sub
TD	Pbre1_03G026200	Pbre1_03G026400	Prupe.6G018000.1	0.33696	0.553376	0.6089169027930377	Neofunctionalization(Parent)	0.0441103711639457	0.9547223420092114	0.0002413612785988	1.1409876990041136e-12	0.0009259255471032	0.9547223420092114	Neo(P)
TD	Pbre1_03G030600	Pbre1_03G030800	Prupe.6G020400.1	0.10612	0.483693	0.2193953602801777	Specialization	4.3019958114815915e-08	1.4235419777409275e-10	9.65623872374561e-10	1.7584489348480634e-05	0.9999823713827154	0.9999823713827154	Spe
TD	Pbre1_03G067400	Pbre1_03G067600	Prupe.6G038100.1	0.095718	0.447437	0.2139250888951964	Specialization	0.1203635955024982	0.0053569769654295	0.0027870033758416	0.0006827159886915	0.870809708167539	0.870809708167539	Spe
TD	Pbre1_03G074400	Pbre1_03G074600	Prupe.6G040400.1	0.177156	1.50816	0.1174649904519414	Conservation	0.6466287491726935	0.0009556117691987	0.0769296527305729	0.0820669427640334	0.1934190435635012	0.6466287491726935	Con
TD	Pbre1_03G131400	Pbre1_03G131600	Prupe.6G073400.1	0.933293	0.410461	2.2737677879262583	Conservation	0.9554144301401616	0.0002211600887625	0.0033553308192659	0.0409973338809338	1.174507087599552e-05	0.9554144301401616	Con
TD	Pbre1_03G164200	Pbre1_03G164400	Prupe.6G091600.1	0.550238	0.525842	1.0463941640264565	Subfunctionalization	0.0589490366471877	0.0005916845872092	0.011874343756315	0.9285509653558652	3.396965342249008e-05	0.9285509653558652	Sub
TD	Pbre1_03G186600	Pbre1_03G186800	Prupe.6G105000.1	0.132081	0.372589	0.3544951675975404	Subfunctionalization	0.0218799906541897	2.0193126411041907e-05	0.0017922390364787	0.9763069361715044	6.410114159245582e-07	0.9763069361715044	Sub
TD	Pbre1_03G283200	Pbre1_03G283400	Prupe.4G251700.1	0.108988	0.419987	0.25950327033932	Conservation	0.9085106574826926	0.0010550607063463	0.0892893560218949	0.0004764326321368	0.0006684931569293	0.9085106574826926	Con
TD	Pbre1_03G292600	Pbre1_03G292800	Prupe.4G244500.1	0.0439891	0.464742	0.0946527320534834	Neofunctionalization(Parent)	1.2525800441988478e-05	0.9998563232634752	4.228116245432554e-09	1.3113036903048706e-05	0.0001180336710636	0.9998563232634752	Neo(P)
TD	Pbre1_03G332000	Pbre1_03G332200	Prupe.4G212200.1	0.0224573	0.243401	0.092264616825732	Neofunctionalization(Child)	2.3987809855242285e-07	2.0764254861895292e-13	0.999998424885607	1.3186513678914412e-06	1.658471894838375e-08	0.999998424885607	Neo(C)
TD	Pbre1_03G354200	Pbre1_03G354400	Prupe.4G201800.1	1.20172	0.470813	2.552435892806698	Neofunctionalization(Parent)	0.0128391093459515	0.9820355858226468	9.985694976286354e-10	0.0051230811298307	2.2227030012320583e-06	0.9820355858226468	Neo(P)
TD	Pbre1_03G370200	Pbre1_03G370400	Prupe.4G188200.1	0.101251	0.431232	0.2347947276639952	Specialization	6.184773666203087e-07	2.9309125765126643e-08	9.60945456710686e-05	0.1642719916488622	0.8356312660189744	0.8356312660189744	Spe
TD	Pbre1_03G370600	Pbre1_03G370800	Prupe.4G188100.1	0.292645	0.384373	0.761356807059809	Neofunctionalization(Parent)	0.1283376333028967	0.5132697921066934	0.0020574272385235	0.3266375667070488	0.0296975806448373	0.5132697921066934	Neo(P)
TD	Pbre1_03G378000	Pbre1_03G378200	Prupe.4G183900.1	0.903965	1.17795	0.7674052379133239	Neofunctionalization(Child)	2.7644338330606086e-08	7.159975364939498e-18	0.9999998716969688	7.687605003118864e-09	9.297108798678317e-08	0.9999998716969688	Neo(C)
TD	Pbre1_03G386200	Pbre1_03G386400	Prupe.4G177700.1	0.0280171	0.571031	0.0490640613206638	Conservation	0.9994262165756208	0.0001143223499638	0.0003018655375941	0.0001365369319545	2.105860486659056e-05	0.9994262165756208	Con
TD	Pbre1_03G403800	Pbre1_03G404000	Prupe.4G164900.1	0.12961	0.614669	0.2108614555150821	Neofunctionalization(Parent)	7.282740290388385e-09	0.9999999788458152	7.144426895636373e-18	1.3847992694142078e-08	2.3451856817881648e-11	0.9999999788458152	Neo(P)
TD	Pbre1_03G416000	Pbre1_03G416200	Prupe.4G155200.1	0.00604566	0.4203	0.0143841541755888	Subfunctionalization	0.0717707986894695	0.0105013835848188	0.0169860453444345	0.5961653587009428	0.3045764136803343	0.5961653587009428	Sub
TD	Pbre1_03G420000	Pbre1_03G420200	Prupe.4G151900.1	0.0456912	0.542154	0.0842771611018271	Neofunctionalization(Child)	0.0161887459194705	2.632057373616476e-05	0.9779444917921624	0.0008376756832478	0.0050027660313832	0.9779444917921624	Neo(C)
TD	Pbre1_03G435000	Pbre1_03G435200	Prupe.8G239200.1	0.139928	0.625255	0.2237934922551598	Neofunctionalization(Child)	0.0052675830889813	7.891208228322967e-07	0.994411296380124	0.0002882759114344	3.20554986374354e-05	0.994411296380124	Neo(C)
TD	Pbre1_03G435400	Pbre1_03G435600	Prupe.8G239300.1	0.061414	0.703526	0.0872945704920642	Subfunctionalization	0.0357392278941168	0.0007838566707196	0.01449060985975	0.9462793070034344	0.0027069985719788	0.9462793070034344	Sub
TD	Pbre1_03G445600	Pbre1_03G445800	Prupe.8G245700.1	0.0168432	1.18259	0.0142426369240396	Subfunctionalization	1.2698358695182044e-05	1.955438208436504e-05	0.1271307874204333	0.8707675447582682	0.0020694150805188	0.8707675447582682	Sub
TD	Pbre1_03G455800	Pbre1_03G456000	Prupe.8G252300.1	0.117525	0.307347	0.3823853819949439	Subfunctionalization	0.0003904638592324	5.734376957236436e-07	0.0036315833854306	0.995380311928596	0.000597067389045	0.995380311928596	Sub
TD	Pbre1_03G460600	Pbre1_03G460800	Prupe.8G254800.1	0.0440342	0.631396	0.0697410183149719	Neofunctionalization(Child)	0.0003848860975937	3.5631536077724467e-09	0.9995415101307676	3.662110796766794e-05	3.697910051743385e-05	0.9995415101307676	Neo(C)
TD	Pbre1_03G463800	Pbre1_03G463600	Prupe.8G256900.1	0.108445	0.312352	0.347188428439709	Subfunctionalization	0.0243316362125564	1.978401041113996e-05	0.0360999628118266	0.9191769352096586	0.0203716817555472	0.9191769352096586	Sub
TD	Pbre1_03G463800	Pbre1_03G464000	Prupe.8G256900.1	0.0458099	0.312352	0.1466611387152955	Neofunctionalization(Child)	0.0001265745078617	5.178500258396335e-08	0.9981241112940352	0.0013130930914952	0.0004361693216052	0.9981241112940352	Neo(C)
TD	Pbre1_03G471000	Pbre1_03G471200	Prupe.8G260100.1	0.0589528	0.313205	0.1882243259207228	Neofunctionalization(Child)	6.551211545952439e-06	8.627723130236772e-08	0.9999572890572898	3.607135142666645e-05	2.102506577211697e-09	0.9999572890572898	Neo(C)
TD	Pbre1_03G482400	Pbre1_03G482600	Prupe.8G266300.1	0.747231	0.61031	1.2243466435090362	Subfunctionalization	0.007295694288496	0.0116823441451939	0.0696348487335238	0.897282287988567	0.0141048248442191	0.897282287988567	Sub
TD	Pbre1_04G004600	Pbre1_04G004800	Prupe.1G002800.1	0.14219	0.411936	0.3451749786374583	Specialization	1.798380759138894e-05	3.2331153738592723e-09	0.0307238372585502	0.1212557583487908	0.8480024173519523	0.8480024173519523	Spe
TD	Pbre1_04G005000	Pbre1_04G005200	Prupe.1G002900.1	0.318141	0.887774	0.3583580956414583	Neofunctionalization(Child)	0.4100348905517958	0.0010731228846077	0.5855290668168277	0.0011411765257105	0.002221743221058	0.5855290668168277	Neo(C)
TD	Pbre1_04G013400	Pbre1_04G013600	Prupe.1G008600.1	0.0521495	0.488977	0.1066502105416001	Conservation	0.98546463160124	4.392020825469973e-05	0.0142198545184166	0.0002715890306326	4.641456193944191e-09	0.98546463160124	Con
TD	Pbre1_04G014400	Pbre1_04G014600	Prupe.1G008900.1	0.0351699	0.499675	0.0703855506078951	Neofunctionalization(Child)	4.473214681199216e-05	8.544805275003579e-07	0.5440932430513534	0.0009025614697439	0.4549586088515631	0.5440932430513534	Neo(C)
