pair	method	Ka	Ks	Ka_Ks	source_file	trajectory	duplication_type
Pbre1_08G390600-Pbre1_06G070400	GMYN	0.366405	0.900287	0.406987	Pbre1_08G390600-Pbre1_06G070400.cds_aln.axt.kaks	Conservation	TRD
Pbre1_10G378200-Pbre1_10G378600	GMYN	0.0034675	0.0228815	0.151542	Pbre1_10G378200-Pbre1_10G378600.cds_aln.axt.kaks	Conservation	PD
Pbre1_11G144200-Pbre1_11G144400	GMYN	0.226246	0.474719	0.47659	Pbre1_11G144200-Pbre1_11G144400.cds_aln.axt.kaks	Conservation	TD
Pbre1_04G197600-Pbre1_04G199400	GMYN	0.0477201	0.0842429	0.566459	Pbre1_04G197600-Pbre1_04G199400.cds_aln.axt.kaks	Specialization	PD
Pbre1_16G490000-Pbre1_05G156200	GMYN	0.500851	1.30776	0.382983	Pbre1_16G490000-Pbre1_05G156200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_14G264200-Pbre1_14G264400	GMYN	0.0454069	0.118288	0.383867	Pbre1_14G264200-Pbre1_14G264400.cds_aln.axt.kaks	Specialization	TD
Pbre1_04G139000-Pbre1_06G109400	GMYN	0.261666	0.739199	0.353986	Pbre1_04G139000-Pbre1_06G109400.cds_aln.axt.kaks	Conservation	TRD
Pbre1_14G404400-Pbre1_06G366800	GMYN	0.0538629	0.272764	0.19747	Pbre1_14G404400-Pbre1_06G366800.cds_aln.axt.kaks	Conservation	TRD
Pbre1_02G223800-Pbre1_02G224000	GMYN	0.193403	0.239501	0.807524	Pbre1_02G223800-Pbre1_02G224000.cds_aln.axt.kaks	Specialization	TD
Pbre1_12G020000-Pbre1_11G354000	GMYN	0.0150525	0.702179	0.0214368	Pbre1_12G020000-Pbre1_11G354000.cds_aln.axt.kaks	Conservation	TRD
Pbre1_12G173000-Pbre1_10G578400	GMYN	0.030049	0.0910057	0.330188	Pbre1_12G173000-Pbre1_10G578400.cds_aln.axt.kaks	Specialization	TRD
Pbre1_11G043600-Pbre1_11G043800	GMYN	0.0695481	0.155299	0.447833	Pbre1_11G043600-Pbre1_11G043800.cds_aln.axt.kaks	Conservation	TD
Pbre1_10G120800-Pbre1_16G169400	GMYN	0.375885	0.798976	0.470458	Pbre1_10G120800-Pbre1_16G169400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_05G129000-Pbre1_05G363200	GMYN	0.564431	1.8283	0.308719	Pbre1_05G129000-Pbre1_05G363200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G369800-Pbre1_10G370000	GMYN	0.0135186	0.0784558	0.172308	Pbre1_10G369800-Pbre1_10G370000.cds_aln.axt.kaks	Neofunctionalization(Parent)	TD
Pbre1_17G211400-Pbre1_17G211800	GMYN	0.0278184	0.0267154	1.04129	Pbre1_17G211400-Pbre1_17G211800.cds_aln.axt.kaks	Specialization	PD
Pbre1_14G193800-Pbre1_06G152000	GMYN	0.208755	0.492787	0.42362	Pbre1_14G193800-Pbre1_06G152000.cds_aln.axt.kaks	Specialization	TRD
Pbre1_12G415400-Pbre1_04G388600	GMYN	0.0914655	0.249134	0.367134	Pbre1_12G415400-Pbre1_04G388600.cds_aln.axt.kaks	Specialization	TRD
Pbre1_17G068800-Pbre1_07G504800	GMYN	0.120675	0.25226	0.478378	Pbre1_17G068800-Pbre1_07G504800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_11G475400-Pbre1_11G459800	GMYN	0.121248	0.434544	0.279023	Pbre1_11G475400-Pbre1_11G459800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_05G435600-Pbre1_05G243800	GMYN	0.0471437	0.216386	0.217868	Pbre1_05G435600-Pbre1_05G243800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_14G209800-Pbre1_14G210000	GMYN	0.0131046	0.166464	0.0787229	Pbre1_14G209800-Pbre1_14G210000.cds_aln.axt.kaks	Conservation	TD
Pbre1_13G347800-Pbre1_17G147600	GMYN	0.33925	0.850338	0.398959	Pbre1_13G347800-Pbre1_17G147600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_14G154000-Pbre1_15G650000	GMYN	0.0691975	0.209323	0.330578	Pbre1_14G154000-Pbre1_15G650000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_17G136600-Pbre1_17G290600	GMYN	0.0870591	0.188125	0.462773	Pbre1_17G136600-Pbre1_17G290600.cds_aln.axt.kaks	Specialization	TRD
Pbre1_16G124200-Pbre1_16G124800	GMYN	0.27459	0.897616	0.305911	Pbre1_16G124200-Pbre1_16G124800.cds_aln.axt.kaks	Specialization	PD
Pbre1_12G079800-Pbre1_12G105400	GMYN	0.471939	1.08904	0.433352	Pbre1_12G079800-Pbre1_12G105400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_09G261200-Pbre1_09G426400	GMYN	0.546433	3.71306	0.147165	Pbre1_09G261200-Pbre1_09G426400.cds_aln.axt.kaks	Specialization	TRD
Pbre1_15G675400-Pbre1_15G676200	GMYN	0.0942744	0.326062	0.289131	Pbre1_15G675400-Pbre1_15G676200.cds_aln.axt.kaks	Specialization	PD
Pbre1_12G020000-Pbre1_03G329400	GMYN	0.014965	1.01808	0.0146992	Pbre1_12G020000-Pbre1_03G329400.cds_aln.axt.kaks	Conservation	TRD
Pbre1_07G164800-Pbre1_10G123400	GMYN	0.0253925	0.0571471	0.444336	Pbre1_07G164800-Pbre1_10G123400.cds_aln.axt.kaks	Neofunctionalization(Parent)	TRD
Pbre1_15G748800-Pbre1_15G749000	GMYN	0.172654	0.319957	0.539616	Pbre1_15G748800-Pbre1_15G749000.cds_aln.axt.kaks	Conservation	TD
Pbre1_13G223000-Pbre1_13G223200	GMYN	0.0823475	0.124151	0.663287	Pbre1_13G223000-Pbre1_13G223200.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_11G485400-Pbre1_11G485800	GMYN	0.435879	1.14662	0.380144	Pbre1_11G485400-Pbre1_11G485800.cds_aln.axt.kaks	Conservation	PD
Pbre1_11G049000-Pbre1_11G464600	GMYN	0.0661178	0.235625	0.280606	Pbre1_11G049000-Pbre1_11G464600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_09G463800-Pbre1_01G055800	GMYN	0.126402	0.42962	0.294218	Pbre1_09G463800-Pbre1_01G055800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_07G426400-Pbre1_01G352000	GMYN	0.0636157	0.213829	0.297508	Pbre1_07G426400-Pbre1_01G352000.cds_aln.axt.kaks	Specialization	TRD
Pbre1_03G113800-Pbre1_03G114600	GMYN	0.0699639	0.273131	0.256155	Pbre1_03G113800-Pbre1_03G114600.cds_aln.axt.kaks	Conservation	PD
Pbre1_02G087800-Pbre1_02G088000	GMYN	0.0483906	0.168144	0.287792	Pbre1_02G087800-Pbre1_02G088000.cds_aln.axt.kaks	Specialization	TD
Pbre1_17G339000-Pbre1_01G358600	GMYN	0.598531	4.60347	0.130017	Pbre1_17G339000-Pbre1_01G358600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_13G038600-Pbre1_13G038800	GMYN	0.271132	1.59371	0.170127	Pbre1_13G038600-Pbre1_13G038800.cds_aln.axt.kaks	Specialization	TD
Pbre1_15G458400-Pbre1_15G458600	GMYN	0.0299114	0.155071	0.192888	Pbre1_15G458400-Pbre1_15G458600.cds_aln.axt.kaks	Conservation	TD
Pbre1_14G030400-Pbre1_14G030600	GMYN	0.0186821	0.0715637	0.261056	Pbre1_14G030400-Pbre1_14G030600.cds_aln.axt.kaks	Conservation	TD
Pbre1_12G057400-Pbre1_12G057600	GMYN	0.0378833	0.121651	0.311411	Pbre1_12G057400-Pbre1_12G057600.cds_aln.axt.kaks	Conservation	TD
Pbre1_14G249400-Pbre1_06G209200	GMYN	0.0394849	0.204164	0.193398	Pbre1_14G249400-Pbre1_06G209200.cds_aln.axt.kaks	Conservation	TRD
Pbre1_01G406200-Pbre1_01G424800	GMYN	0.139445	0.233923	0.596116	Pbre1_01G406200-Pbre1_01G424800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G314200-Pbre1_10G314600	GMYN	0.12433	0.446183	0.278651	Pbre1_10G314200-Pbre1_10G314600.cds_aln.axt.kaks	Specialization	PD
Pbre1_05G277400-Pbre1_10G270200	GMYN	0.435912	1.07171	0.406744	Pbre1_05G277400-Pbre1_10G270200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_16G269800-Pbre1_16G270000	GMYN	0.0232253	1.5885	0.0146209	Pbre1_16G269800-Pbre1_16G270000.cds_aln.axt.kaks	Conservation	TD
Pbre1_05G193400-Pbre1_15G706400	GMYN	0.544783	0.885005	0.615571	Pbre1_05G193400-Pbre1_15G706400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G439800-Pbre1_10G581600	GMYN	0.0445961	0.19338	0.230614	Pbre1_10G439800-Pbre1_10G581600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_11G274400-Pbre1_11G275000	GMYN	0.0775101	0.209023	0.370821	Pbre1_11G274400-Pbre1_11G275000.cds_aln.axt.kaks	Specialization	PD
Pbre1_02G373800-Pbre1_02G374000	GMYN	0.0209764	0.0799376	0.26241	Pbre1_02G373800-Pbre1_02G374000.cds_aln.axt.kaks	Specialization	TD
Pbre1_05G540400-Pbre1_05G540800	GMYN	0.46148	0.44728	1.03175	Pbre1_05G540400-Pbre1_05G540800.cds_aln.axt.kaks	Specialization	PD
Pbre1_11G286200-Pbre1_09G414600	GMYN	0.644375	5.22265	0.123381	Pbre1_11G286200-Pbre1_09G414600.cds_aln.axt.kaks	Specialization	TRD
Pbre1_17G225800-Pbre1_17G226000	GMYN	0.0571338	0.36343	0.157207	Pbre1_17G225800-Pbre1_17G226000.cds_aln.axt.kaks	Specialization	TD
Pbre1_11G325600-Pbre1_03G307400	GMYN	0.0738033	0.136459	0.540847	Pbre1_11G325600-Pbre1_03G307400.cds_aln.axt.kaks	Conservation	TRD
Pbre1_01G407600-Pbre1_07G264200	GMYN	0.371154	1.60859	0.230732	Pbre1_01G407600-Pbre1_07G264200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_12G259400-Pbre1_04G223000	GMYN	0.0479014	0.172441	0.277784	Pbre1_12G259400-Pbre1_04G223000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G347400-Pbre1_15G319400	GMYN	0.140167	0.269511	0.520078	Pbre1_10G347400-Pbre1_15G319400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_07G082600-Pbre1_07G082800	GMYN	0.0663929	0.0496966	1.33597	Pbre1_07G082600-Pbre1_07G082800.cds_aln.axt.kaks	Conservation	TD
Pbre1_17G398200-Pbre1_17G398400	GMYN	0.0917543	0.464261	0.197635	Pbre1_17G398200-Pbre1_17G398400.cds_aln.axt.kaks	Neofunctionalization(Parent)	TD
Pbre1_16G304000-Pbre1_16G304200	GMYN	0.0486084	0.202599	0.239924	Pbre1_16G304000-Pbre1_16G304200.cds_aln.axt.kaks	Specialization	TD
Pbre1_04G374200-Pbre1_04G384000	GMYN	0.490101	1.06939	0.458302	Pbre1_04G374200-Pbre1_04G384000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_09G305600-Pbre1_09G305800	GMYN	0.273089	1.16809	0.233791	Pbre1_09G305600-Pbre1_09G305800.cds_aln.axt.kaks	Specialization	TD
Pbre1_15G311200-Pbre1_15G311600	GMYN	0.308594	2.51937	0.122488	Pbre1_15G311200-Pbre1_15G311600.cds_aln.axt.kaks	Specialization	PD
Pbre1_06G217600-Pbre1_06G217800	GMYN	0.282533	0.583142	0.484501	Pbre1_06G217600-Pbre1_06G217800.cds_aln.axt.kaks	Specialization	TD
Pbre1_03G471000-Pbre1_03G471200	GMYN	0.0393931	0.0589528	0.668214	Pbre1_03G471000-Pbre1_03G471200.cds_aln.axt.kaks	Conservation	TD
Pbre1_16G243400-Pbre1_03G479600	GMYN	0.0296546	0.257145	0.115322	Pbre1_16G243400-Pbre1_03G479600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G446600-Pbre1_05G472800	GMYN	0.0677363	0.0927031	0.73068	Pbre1_10G446600-Pbre1_05G472800.cds_aln.axt.kaks	Specialization	TRD
Pbre1_15G631000-Pbre1_15G370000	GMYN	0.0674208	0.0905341	0.744701	Pbre1_15G631000-Pbre1_15G370000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_13G194800-Pbre1_13G195400	GMYN	0.0942153	0.427769	0.220248	Pbre1_13G194800-Pbre1_13G195400.cds_aln.axt.kaks	Specialization	PD
Pbre1_10G117200-Pbre1_13G200800	GMYN	0.193661	0.30148	0.642367	Pbre1_10G117200-Pbre1_13G200800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_11G442800-Pbre1_11G444400	GMYN	0.00535814	0.0182158	0.294148	Pbre1_11G442800-Pbre1_11G444400.cds_aln.axt.kaks	Specialization	PD
Pbre1_10G234600-Pbre1_10G234800	GMYN	0.137497	0.563777	0.243886	Pbre1_10G234600-Pbre1_10G234800.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_10G044000-Pbre1_16G205400	GMYN	0.016518	0.604939	0.0273053	Pbre1_10G044000-Pbre1_16G205400.cds_aln.axt.kaks	Conservation	TRD
Pbre1_02G148000-Pbre1_02G148200	GMYN	0.120968	0.211506	0.571936	Pbre1_02G148000-Pbre1_02G148200.cds_aln.axt.kaks	Neofunctionalization(Parent)	TD
Pbre1_01G304200-Pbre1_05G475800	GMYN	0.372746	1.42934	0.260781	Pbre1_01G304200-Pbre1_05G475800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_05G579200-Pbre1_10G563200	GMYN	0.0702677	0.177775	0.395262	Pbre1_05G579200-Pbre1_10G563200.cds_aln.axt.kaks	Conservation	TRD
Pbre1_17G102800-Pbre1_09G204200	GMYN	0.248941	0.371728	0.669685	Pbre1_17G102800-Pbre1_09G204200.cds_aln.axt.kaks	Specialization	TRD
Pbre1_08G067400-Pbre1_13G310000	GMYN	0.214441	0.241262	0.88883	Pbre1_08G067400-Pbre1_13G310000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_03G455800-Pbre1_03G456000	GMYN	0.125008	0.117525	1.06368	Pbre1_03G455800-Pbre1_03G456000.cds_aln.axt.kaks	Specialization	TD
Pbre1_08G393800-Pbre1_15G757200	GMYN	0.0312213	0.253015	0.123397	Pbre1_08G393800-Pbre1_15G757200.cds_aln.axt.kaks	Conservation	TRD
Pbre1_15G570000-Pbre1_15G570200	GMYN	0.107078	0.19426	0.551212	Pbre1_15G570000-Pbre1_15G570200.cds_aln.axt.kaks	Conservation	TD
Pbre1_05G129000-Pbre1_10G345600	GMYN	0.551313	1.69	0.326222	Pbre1_05G129000-Pbre1_10G345600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G347400-Pbre1_15G211200	GMYN	0.161099	1.78648	0.0901769	Pbre1_10G347400-Pbre1_15G211200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_11G507600-Pbre1_11G507800	GMYN	0.0292034	0.0606024	0.481885	Pbre1_11G507600-Pbre1_11G507800.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_13G468000-Pbre1_03G346600	GMYN	0.0416552	0.286935	0.145173	Pbre1_13G468000-Pbre1_03G346600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_03G186600-Pbre1_03G186800	GMYN	0.110742	0.132081	0.838437	Pbre1_03G186600-Pbre1_03G186800.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_13G488400-Pbre1_05G592800	GMYN	0.190931	0.423275	0.45108	Pbre1_13G488400-Pbre1_05G592800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_03G081400-Pbre1_11G081200	GMYN	0.0174018	0.161234	0.107929	Pbre1_03G081400-Pbre1_11G081200.cds_aln.axt.kaks	Conservation	TRD
Pbre1_09G269400-Pbre1_05G455600	GMYN	0.35403	0.915022	0.386909	Pbre1_09G269400-Pbre1_05G455600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_15G320000-Pbre1_12G203000	GMYN	0.21135	0.39271	0.538184	Pbre1_15G320000-Pbre1_12G203000.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_01G365600-Pbre1_07G439800	GMYN	0.0661411	0.0772224	0.856501	Pbre1_01G365600-Pbre1_07G439800.cds_aln.axt.kaks	Specialization	TRD
Pbre1_14G380000-Pbre1_14G380200	GMYN	0.0524532	0.0594544	0.882243	Pbre1_14G380000-Pbre1_14G380200.cds_aln.axt.kaks	Conservation	TD
Pbre1_09G474000-Pbre1_06G067400	GMYN	0.213533	0.504476	0.423277	Pbre1_09G474000-Pbre1_06G067400.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_06G259200-Pbre1_03G416800	GMYN	0.09983	1.26903	0.0786664	Pbre1_06G259200-Pbre1_03G416800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_04G381200-Pbre1_12G405400	GMYN	0.0271016	0.179616	0.150886	Pbre1_04G381200-Pbre1_12G405400.cds_aln.axt.kaks	Specialization	TRD
Pbre1_12G359200-Pbre1_12G359400	GMYN	0.163421	1.58473	0.103122	Pbre1_12G359200-Pbre1_12G359400.cds_aln.axt.kaks	Specialization	TD
Pbre1_07G443200-Pbre1_07G448200	GMYN	0.169944	0.170291	0.997964	Pbre1_07G443200-Pbre1_07G448200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_06G409000-Pbre1_06G409200	GMYN	0.0816949	0.0892999	0.914838	Pbre1_06G409000-Pbre1_06G409200.cds_aln.axt.kaks	Specialization	TD
Pbre1_02G054600-Pbre1_02G054800	GMYN	0.177652	0.477712	0.37188	Pbre1_02G054600-Pbre1_02G054800.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_09G093800-Pbre1_09G094000	GMYN	0.0584898	0.091007	0.642696	Pbre1_09G093800-Pbre1_09G094000.cds_aln.axt.kaks	Specialization	TD
Pbre1_09G438600-Pbre1_15G644800	GMYN	0.205184	1.22047	0.16812	Pbre1_09G438600-Pbre1_15G644800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_11G156400-Pbre1_10G151400	GMYN	0.211186	0.969338	0.217867	Pbre1_11G156400-Pbre1_10G151400.cds_aln.axt.kaks	Specialization	TRD
Pbre1_03G264400-Pbre1_03G215400	GMYN	0.0372747	0.0879684	0.423729	Pbre1_03G264400-Pbre1_03G215400.cds_aln.axt.kaks	Conservation	TRD
Pbre1_16G408600-Pbre1_05G059200	GMYN	0.280942	0.22779	1.23334	Pbre1_16G408600-Pbre1_05G059200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_07G481400-Pbre1_07G481600	GMYN	0.569511	0.69629	0.817921	Pbre1_07G481400-Pbre1_07G481600.cds_aln.axt.kaks	Conservation	TD
Pbre1_17G264600-Pbre1_08G043200	GMYN	0.0303831	0.0799493	0.38003	Pbre1_17G264600-Pbre1_08G043200.cds_aln.axt.kaks	Specialization	TRD
Pbre1_06G344000-Pbre1_06G344400	GMYN	0.0352348	0.132173	0.266581	Pbre1_06G344000-Pbre1_06G344400.cds_aln.axt.kaks	Specialization	PD
Pbre1_17G112200-Pbre1_17G112400	GMYN	0.0218247	0.0829	0.263265	Pbre1_17G112200-Pbre1_17G112400.cds_aln.axt.kaks	Conservation	TD
Pbre1_01G060200-Pbre1_15G595600	GMYN	0.0527249	0.158123	0.333443	Pbre1_01G060200-Pbre1_15G595600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_17G378600-Pbre1_17G378800	GMYN	0.0414287	0.0957487	0.432682	Pbre1_17G378600-Pbre1_17G378800.cds_aln.axt.kaks	Conservation	TD
Pbre1_04G374200-Pbre1_12G409600	GMYN	0.494155	1.03122	0.479193	Pbre1_04G374200-Pbre1_12G409600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_15G262400-Pbre1_15G262600	GMYN	0.036975	1.28152	0.0288525	Pbre1_15G262400-Pbre1_15G262600.cds_aln.axt.kaks	Conservation	TD
Pbre1_14G107800-Pbre1_14G108200	GMYN	0.0338566	0.148686	0.227706	Pbre1_14G107800-Pbre1_14G108200.cds_aln.axt.kaks	Neofunctionalization(Parent)	PD
Pbre1_01G260400-Pbre1_01G260600	GMYN	0.0424772	0.117277	0.362196	Pbre1_01G260400-Pbre1_01G260600.cds_aln.axt.kaks	Conservation	TD
Pbre1_07G146600-Pbre1_07G146800	GMYN	0.126319	0.484637	0.260647	Pbre1_07G146600-Pbre1_07G146800.cds_aln.axt.kaks	Neofunctionalization(Child)	TD
Pbre1_05G416800-Pbre1_05G417000	GMYN	0.0473718	0.0769985	0.61523	Pbre1_05G416800-Pbre1_05G417000.cds_aln.axt.kaks	Conservation	TD
Pbre1_02G200600-Pbre1_02G201000	GMYN	0.080254	0.19697	0.407442	Pbre1_02G200600-Pbre1_02G201000.cds_aln.axt.kaks	Specialization	PD
Pbre1_10G116400-Pbre1_07G443800	GMYN	0.0887801	0.455781	0.194787	Pbre1_10G116400-Pbre1_07G443800.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_10G282600-Pbre1_07G403000	GMYN	0.0871739	0.263071	0.33137	Pbre1_10G282600-Pbre1_07G403000.cds_aln.axt.kaks	Conservation	TRD
Pbre1_14G264000-Pbre1_06G223600	GMYN	0.17307	0.844398	0.204962	Pbre1_14G264000-Pbre1_06G223600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_08G112200-Pbre1_08G112400	GMYN	0.0343694	0.112322	0.30599	Pbre1_08G112200-Pbre1_08G112400.cds_aln.axt.kaks	Conservation	TD
Pbre1_09G374600-Pbre1_17G394600	GMYN	0.13831	0.212473	0.650954	Pbre1_09G374600-Pbre1_17G394600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_02G421200-Pbre1_02G422400	GMYN	0.0228785	0.028602	0.79989	Pbre1_02G421200-Pbre1_02G422400.cds_aln.axt.kaks	Conservation	PD
Pbre1_07G075600-Pbre1_02G424600	GMYN	0.044958	0.148263	0.303232	Pbre1_07G075600-Pbre1_02G424600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_04G139200-Pbre1_05G172600	GMYN		0.0203659	-5.45138e-14	Pbre1_04G139200-Pbre1_05G172600.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_14G033000-Pbre1_12G039400	GMYN	0.0799271	0.197281	0.405144	Pbre1_14G033000-Pbre1_12G039400.cds_aln.axt.kaks	Specialization	TRD
Pbre1_15G167400-Pbre1_15G167600	GMYN	0.497274	1.05763	0.470178	Pbre1_15G167400-Pbre1_15G167600.cds_aln.axt.kaks	Specialization	TD
Pbre1_17G320600-Pbre1_09G046200	GMYN	0.344594	0.509089	0.676883	Pbre1_17G320600-Pbre1_09G046200.cds_aln.axt.kaks	Conservation	TRD
Pbre1_09G197000-Pbre1_09G171600	GMYN	0.0956157	0.14383	0.664781	Pbre1_09G197000-Pbre1_09G171600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_05G350000-Pbre1_05G351000	GMYN	0.0866692	0.283152	0.306087	Pbre1_05G350000-Pbre1_05G351000.cds_aln.axt.kaks	Conservation	PD
Pbre1_16G254000-Pbre1_03G403800	GMYN	0.192225	0.293412	0.655135	Pbre1_16G254000-Pbre1_03G403800.cds_aln.axt.kaks	Specialization	TRD
Pbre1_02G467000-Pbre1_07G040600	GMYN	0.0470182	0.156126	0.301156	Pbre1_02G467000-Pbre1_07G040600.cds_aln.axt.kaks	Conservation	TRD
Pbre1_16G482600-Pbre1_16G482800	GMYN	0.327145	1.00444	0.325697	Pbre1_16G482600-Pbre1_16G482800.cds_aln.axt.kaks	Specialization	TD
Pbre1_15G577000-Pbre1_11G178200	GMYN	0.0712198	0.221973	0.32085	Pbre1_15G577000-Pbre1_11G178200.cds_aln.axt.kaks	Neofunctionalization(Child)	TRD
Pbre1_07G395800-Pbre1_07G396000	GMYN	0.102559	0.0975417	1.05144	Pbre1_07G395800-Pbre1_07G396000.cds_aln.axt.kaks	Specialization	TD
Pbre1_07G046600-Pbre1_02G460000	GMYN	0.0550183	0.166168	0.331101	Pbre1_07G046600-Pbre1_02G460000.cds_aln.axt.kaks	Specialization	TRD
